GenSymb	LAU125_TPM	LAU355_TPM	LAU1255_TPM	LAU1314_TPM
MOBP	0.01	0.01	0	0
CX3CR1	0.73	5.05	0.75	4.47
C8orf22	0.08	0	0	0
XIRP1	0.02	0.03	0.07	0.01
INSM2	0	0.01	0.02	0
DEGS2	0.05	0.34	0.02	0.21
SCN11A	0.03	0.22	0.05	0.11
LINC00917	0	0	0	0
ARF4	224.51	61.69	184.88	73.54
2-Sep	450.52	120.92	91.14	161.95
FILIP1L	0.4	2.27	0.34	1.79
MFSD2A	4.74	2.94	1.94	2.85
DTYMK	16.7	10.59	5.74	13.13
TAP1	7.12	56.15	83.86	53.49
ING5	11.19	14.27	6.06	13.55
ATG4B	27.42	27.77	16.06	32.58
BDKRB2	3.17	0.3	0.02	0.02
MLKL	0.98	8.62	5.24	9.92
RFWD3	10.14	13.83	8.44	14.44
MTNR1A	0.08	0	0	0
KCNG4	0.01	0	0.63	0
RHOH	1.63	193.7	46.51	151.75
KLHL30	0.01	0.04	0.01	0.05
COG7	6.9	4.18	4.9	4.68
CDC40	19.35	34.47	8.81	34.83
STIP1	136.44	43.62	67.47	65.65
SCNN1B	0.02	0.07	0.08	0.03
HR	1.74	0.02	3.13	0.1
TXNDC2	0.04	0.18	0.01	0
RAB31	14.96	23.34	11.68	18.07
REEP4	5.48	4.21	4.34	4.33
TNXB	0.25	0.32	0.26	0.14
LGI3	11.38	0.01	2.1	0.01
SFTPC	1.79	0	1.02	0
BMP1	6.78	1.6	2.84	1.22
ATXN2L	27.94	56.31	37.4	51.3
PHYHIP	0.05	0	0.14	0
CCDC110	1.05	0.35	0.82	0.76
POLR3D	43.27	17.18	13.92	21.87
FEN1	17.67	10.61	13.88	22.88
SDPR	0.52	0.13	1.47	0.03
MTCL1	0.92	3.87	1.04	2.69
GBX2	0	0	0	0
HFE2	0	0	0	0
SCGB1D1	0	0	0	0
HEXIM2	2.29	0.93	2.85	1.11
FNTA	113.28	45.42	21.53	59.26
SERINC2	8.6	0.92	1.86	3.07
MYL1	0	0	0	0
TRAPPC11	25.05	18.1	11.46	21.57
CHRM1	0.41	0	0.02	0
MIR3606	2.21	0.01	0.46	0.08
GFRA2	22.48	1.67	0.14	0.24
ING2	16.74	18.39	14.81	16.31
CDKN2AIP	15.46	30.96	15.78	25.94
SNRNP48	6.73	6.98	3.28	9.1
TMEM223	13.34	8.55	5.15	9.89
SLC20A2	37.59	15.29	8.69	15.7
CRYGA	0.13	0.04	0	0
DYNLRB2	0	0.05	0	0
TMUB2	8.9	18.84	14.32	15.22
ADAM29	0	2.6	0.12	0.16
STAT3	100.83	64.99	59.43	65.71
ZSWIM1	3.85	2.1	1.73	2.65
ADAM9	131.87	6.97	14.62	6
ADAM18	0	0	0	0
GDNF	1.43	0	0.08	0.08
DPCR1	0	0.01	0.06	0.05
WFDC13	0.05	0	0	0
AXIN2	3.14	3.55	0.95	0.99
NDUFS5	348.39	118.38	263.78	138.95
VWA3B	0.01	0.01	0	0.1
ZNF30	2.82	2.58	1.08	2.27
UGT3A2	0	0.03	0	0.08
FAM84B	14.62	5.68	18.55	5.77
LDLRAD4	3.24	5.08	1.8	4.44
KCTD19	0.06	0.03	0.08	0.07
SLC16A4	27.02	0.49	25.11	1.52
IL7R	3.12	201.82	32.73	105.78
TMEM208	25.48	11	23.36	12.66
LRP1B	0.01	0	0.01	0
WFDC12	0	0	0	0
AHCYL1	34.06	25.33	36.44	30.33
DNAJC21	39.23	37.47	37.79	41.28
PKIG	67.2	67.48	27.49	90
NPNT	0.04	0.04	0	0.17
LINC01430	0	0	0	0
CA7	0	0	0	0
FAM178B	2.68	0.39	0.2	0.32
TSPY2	0	0	0.35	0
SEMA4C	9.88	2.46	4.57	3.23
CNNM3	14.65	19.54	9.04	14.11
GSTM4	39.59	8.96	60.15	16.02
TET2	8.62	7.31	5.32	7.08
CXXC4	0	0.08	0.11	0.13
TCTN2	6.27	2.76	7.37	1.44
SHOX2	0.11	0.08	1.34	0.05
PPIP5K1	7.69	9.1	10.58	10.27
TSPAN5	0.39	12.26	7.54	10.62
ABHD15	2.97	14.65	4.69	12.35
ZBTB5	3.06	4.88	2.77	5.5
CHTF8	68.13	90.69	72.7	102.22
ADAL	10.68	4.32	5.59	4.62
LCMT2	4.29	2.64	3.9	4.1
SNTB2	5.58	1.72	2.76	1.57
IL12A	0.09	1.17	0.32	1.24
ZNF507	10.65	11.03	4.06	8.85
STX18	40.5	27.31	29.35	35.73
NSG1	36.43	3.08	156.64	3.12
ZBTB49	5.64	6.43	3.93	7.7
GFM1	59.04	25.38	27.32	28.08
OR13J1	0.02	0	0	0
HTR1E	0	0	0	0
FSTL5	0.91	0.01	0.61	0.19
DDX19A	33.58	19.93	16.65	18.85
ATOH8	0.24	0.08	3.07	0.07
SOX14	0	0	0	0
ANKRD49	7.31	13.2	11.44	14.76
SFTPB	0.08	0.57	0.26	0.31
USP39	62.76	55.69	37.91	59.55
TNIP2	3.66	9.59	6.73	9.21
C2orf68	11.73	12.77	11.28	16.61
TMEM150A	4.56	3.28	7.1	2.5
RNF181	93.74	60.2	77.25	61.55
VAMP5	14.17	15.1	22.04	10.68
BTNL3	0	0	0.28	0.05
LRRC28	11.84	6.4	5.88	9.1
MAT2A	105.12	91.85	50.68	67.91
PLA2G4F	0.08	0	0.03	0
ENHO	1.07	0.26	0.6	0.41
ZNF608	26.41	8.85	3.39	9.95
SLC35G2	1.03	0.36	0.78	0.49
INPP5D	4.1	272.22	42.4	315.39
LETM1	5.42	7.1	2.97	8.86
CTRB1	0	0	0.04	0
CTRB2	0	0	0	0
TRIM49	0	0.09	0	0
TMEM129	7.51	7.9	5.14	7.4
PPIC	1.29	0	1.33	0.53
SPRY3	0.42	0.22	0.27	0.21
CEP120	11.9	36.16	10.53	37.19
STXBP6	14.69	0.56	14.81	3
TM4SF20	0	0.01	0	0
MFF	127.01	73.89	61.47	78.39
GRM5	0.04	0.03	0.3	0
LGALS9	6.82	108.65	51.04	76.51
PMCHL1	0	0	0	0
JMJD7-PLA2G4B	1.11	1.71	1.14	2.04
CPLX1	0.04	0.12	0.14	0.18
PXDC1	9.71	4.51	14.78	4.16
SIGLEC7	0.28	4.88	3.8	1.29
NTSR2	0.03	0	0.07	0
E2F6	7.35	5.9	7	7.3
FEM1B	35.5	12.32	14.35	13.18
COMMD8	21.53	22.18	8.58	27.29
ATP5I	118.55	73.11	57.9	81.21
UQCRFS1	94.66	45.26	53.37	47.13
MFSD7	0.08	0.2	0.6	0.14
COL4A3	0.09	3.71	0.95	3.64
MAP2K1	23.64	31.04	14.35	36.3
KLK7	0	0	0.02	0.02
PMCHL2	0.02	0.12	0.03	0
HNRNPH1	400.8	450.01	219.53	419.33
IRS1	6.03	1.42	2.76	2.02
MECP2	8.73	15.21	11.16	20.82
VCX3A	0	0	0	0.03
UPF3A	23.45	49.02	18.65	30.42
ZBBX	0.03	0.03	0	0.01
ACTBL2	0	0	0.02	0
ROR2	0	0.04	0	0.04
AR	0.04	0.08	0.08	0.28
DHRSX	22.41	11.86	14.96	11.94
C8orf46	15	0.08	6.51	0.4
HSPBAP1	3.41	7.69	4.68	6.09
ASMTL	6.95	8.98	6.82	11.93
SLC25A6	122.49	151.3	88.42	147.48
CHST14	11.35	5.14	6.08	6.69
PARM1	0.16	10.16	7.1	16.77
CSNK1G1	8.91	10.26	6.8	9.19
FAM110B	0.43	0.1	0.71	0.11
ARMC4	0	0	0	0.05
AFAP1L2	6.47	1.59	2.51	2.45
ZNF354A	6.16	8.42	5.81	8.28
MIR4751	12.45	8.37	12.02	9.46
UBE2V2	162.99	63.05	56.7	67.6
GOT1L1	0	0	0	0
ZBTB43	3.82	6.24	4.38	7.89
XAGE-4	0	0	0.77	0
CPT1C	2.28	0.02	3.13	0.15
PCSK9	0	0	0.5	0
XPO6	18.72	57.14	20.72	43.79
GSG1L	0.28	0.06	0.1	0.01
MN1	0.23	0.14	0.05	0.1
APEX2	9.58	8.53	8.36	14.23
NSMCE1	67.18	38.46	33.36	42.95
CCDC126	8.42	8.31	5.35	15.38
IL13	0.02	0.11	0.02	0.06
OR10G3	0	0	0	0
RAB3B	0.81	0.06	0.03	0.1
OR6F1	0	0	0	0
CD2BP2	19.99	20.08	17.7	24.24
RSPO1	0	0	0	0
RGS14	5.53	22.7	8.35	23.4
TBC1D10B	12.12	13.12	10.62	14.64
LMAN2	71.12	64.66	76.22	80.21
GCSAML	0.04	0.11	0.05	0.18
RAB24	13.93	18.48	11.57	13.42
PRELID1	152.37	141.7	129.74	131.65
THBS3	5.27	2.27	10.87	1.95
CA5B	19.26	12.33	6.94	10.12
SLC50A1	48.53	55.91	36.15	56.01
EFNA1	4.56	0.39	5.27	0.38
CXCL10	4.99	8.25	149.87	3.23
SH3TC2	8.66	0.33	8.25	0.96
CXCL11	0.43	1.02	30.32	0.19
ZRSR2	18.78	42.34	14.73	31.58
NMD3	37.18	26.71	21.9	28.75
ADRB2	0.6	8.92	4.29	3.87
B3GALNT1	1.93	1.35	2.72	2.62
GPRIN1	5.1	0.35	2.61	0.93
HSPB3	0	0	0	0
KCNAB1	0.79	0.24	0.62	0.25
MRPL1	30.22	24.9	16.66	29
SHE	4.93	0.15	0.08	0.11
NR0B1	0.43	0	0.01	0
PGM2	55.2	14.71	12.45	17.82
STK32A	84.93	0.13	23.34	0.28
IL1RAPL1	0.06	0	0.02	0.02
P2RY12	3.51	1.77	1.37	8.99
C22orf15	0.04	0.28	0.05	0.26
OR5AU1	0.02	0	0.04	0
KIAA1024	1.41	0.12	0.4	0.27
PDILT	0	0.02	0	0
UMOD	0	0	0	0
GP2	0.01	0.01	0	0
SLC33A1	25.12	11.58	16.38	12.41
SNUPN	15.74	11.24	9.95	13.16
CRADD	5.66	2.86	3.12	4.32
SIN3A	20.85	29.35	17.39	34.66
ARL13B	9.13	7.93	8.5	9.34
RNASE2	1.29	2.27	7.15	0.34
ELSPBP1	0	0	0	0
RNASE3	0.11	0.44	0.55	0
PTK2	140.97	32.91	41.06	40.31
RSPH10B2	0.14	0.26	0.26	0.18
PTAFR	0.69	7.69	8	4.65
PTPN9	16.13	14.7	13.18	15.65
RNASE6	7.75	64.51	19.57	78.36
NPR1	0.36	0.01	0.54	0.02
KCNK9	0.01	0.24	0.02	0.09
CXCL8	72.07	17.04	97.29	9.94
SCN9A	0.09	0.55	0.09	0.57
RASSF6	0.19	5.58	0.18	4.12
COL22A1	1.77	0.04	3.97	0.03
SDC2	72.47	2.99	2.68	3.4
CD52	57.53	2304.57	395.65	2627.75
MMGT1	28.29	12.21	16.42	13.72
SPRR1B	0	0	0	0
SPRR1A	0	0	0	0
OR4K14	0	0	0	0
OR4K15	0	0	0	0
TM2D2	53.01	15.01	14.19	19.08
HTRA4	1.03	0.96	1.73	0.68
PLEKHA2	81.33	93.93	15.21	101.4
CLIC4	1273.08	42.47	104.23	80.37
SLC38A11	0.12	6.29	0.56	7.95
GPR183	10.62	397.75	147.7	252.73
CRCT1	0	0	0	0
CCDC8	3.34	0.04	1.41	0.04
METTL15	7.87	5.58	5.21	5.89
ZNF280A	7.13	0	4.21	0.04
MUC15	0	0.01	0.14	0.42
CT55	0	0	0.03	0.03
ZEB2	195.92	39.39	55.72	27.31
GJB1	31.26	0.01	21.2	0.93
PCBP1	91.23	124.58	109.79	159.09
HINT1	176.81	228.26	143.17	244.48
DTWD2	5.93	3.24	1.7	3.32
VPREB1	0	0.03	0	0
CLIC3	0	0.96	0.45	1.3
INO80E	19.43	19.95	21.92	22.64
BNC1	0	0	0	0
DFFB	9.38	5.79	3.5	5.31
NFU1	60.2	36.12	31.53	35.08
ANTXR1	58.57	0.18	18.17	0.41
GKN1	0	0	0	0
CKAP2L	9.27	3.57	3.65	6.28
C15orf40	8.16	10.77	6.46	11.07
FAM103A1	14.54	7.53	8.27	10.27
PROKR1	0	0	0	0.04
PROKR1	1.33	2.33	1.25	2
BOLA2B	23.26	35.6	28.28	39.93
RGPD8	2.49	4.18	0.44	1.65
HIC2	0.13	0.57	0.45	0.65
LUZP1	37.62	6.44	8.03	6.99
HEXDC	0.48	2.55	1.32	2.02
DRD5	0	0	0	0.02
BUB1	33.99	7.23	11.08	25.1
SPNS1	11.73	6.19	8.51	5.39
LRRC45	1.46	1.34	1.94	1.61
CHRNA5	1.18	0.26	1.55	0.39
MT1B	0	0	0	0
CENPX	19.97	7.75	12.19	7.07
AGPAT2	5.86	3.93	7.16	4.68
ASPSCR1	3.4	3.92	2.87	3.62
GP9	0	0	0	0
FASN	3.52	1.69	4.26	2.15
CNBP	351.33	336.64	306.37	322.46
MT1E	3.69	0.64	8.29	3.64
ACTRT2	0	0	0	0
DUS1L	5.51	13	7.54	13.72
GPS1	18.84	14.63	16.6	18.51
RFNG	5.07	4.93	5.22	4.46
DCXR	21.69	18.46	20.34	19.84
ZNF32	16.19	29.29	19.51	22.37
LDB2	0.04	0.18	0.26	1.13
RAC3	5.83	0.12	2.49	0.21
NRG4	0.17	0.57	0.11	0.2
LIMS1	33.63	29.34	28.5	33.69
TMEM266	0.03	0.03	0.01	0.01
NLGN1	42.36	0.01	0.09	0.13
TAPT1	18.93	26.5	13.13	32.09
UGP2	165.42	95.47	101.26	121.4
TAS2R1	0	0	0	0
LINGO1	16.24	0.01	1.9	0.09
PRY	0.42	0	1.24	0.23
RBMY1F	0	0	0	0
PRY2	0.06	0	0.54	0.23
HNRNPF	63.35	155.58	119.93	194.29
BTD	25.81	5.51	11.69	6.2
CSGALNACT2	8.12	33.33	19.07	27.43
TACR3	0	0.03	0	0
GSX1	0	0	0	0
PCDH7	121.36	0.12	9.63	0.58
ROBO1	47.03	2.16	20.39	2.28
ONECUT1	0.01	0	0.37	0
AVEN	4.87	4.99	5.74	5.63
P2RY1	5.58	0.18	0.57	0.4
CTNND2	0.01	0.01	0.12	0.08
TRIM56	8.07	5.24	3.63	7.44
MUC17	0	0	0	0.01
AHSP	0	0.23	0	0.69
WNT10B	0.02	0.05	0.13	0.09
CALML6	0.05	0	0.03	0.03
REPS2	1.78	1.65	3.67	3.27
MUC3A	0.03	0	0	0.01
SYAP1	13.89	9.85	10.25	9.21
ITGAM	1.72	7.52	4.4	7.18
PYDC1	0	0	0	0
TPST1	30.35	3.9	9.26	5.02
TM4SF4	0.07	0	0	0
TOR1AIP2	22.93	10.06	14.98	11.82
S100G	0	0.05	0	0
TM4SF1	38.63	0.02	7.81	0.88
OTUD3	6.02	4.06	2.65	4.36
OTUD7A	0.07	0.06	0.07	0.02
GUSB	76.85	28.83	34.82	25.78
BRD3	2.56	5.96	1.98	6.52
KLF13	8.39	27.7	10.1	25.16
FRMPD4	0	0	0	0
ZFPM2	0.17	0.03	0.06	0.01
ZNF764	1.45	2.08	1.55	3.02
HSFY2	0.02	0	0	0
ZNF747	3.38	4.41	2.41	3.85
ZNF768	11.28	5.19	9.34	6.36
TAS1R3	0	0.34	0.08	0.23
TMEM42	4.99	8.6	6.16	7.97
MAP3K2	12.15	22.94	10.22	21.27
PUSL1	2.71	2	1.33	1.94
SF3B5	49.82	66.51	38.49	64.02
ZNF35	6.12	4.21	1.26	3.97
TIGD4	0.43	0.08	0.21	0.12
IFFO2	52.11	14.92	12.92	12.96
NLGN2	4.08	0.49	1.24	0.27
MYO7B	0.05	6.43	0.68	13.26
CHD3	29.94	43	22.97	39.98
TMEM154	1.63	16.12	1.37	17.79
MYRIP	0.01	0.03	3.35	0.2
ALCAM	21.1	25.77	14.89	27.88
YWHAG	79.2	19.54	38.03	24.64
UBE2E3	75.95	40.52	56.27	41.02
CNTROB	9.68	7.88	5.06	8.46
TRAPPC1	69.73	94.66	55.04	110.27
ZPLD1	0.03	0	0.31	0.04
KCNAB3	0.61	0.33	0.14	0.48
SERPINA9	0.27	13.47	1.02	12.43
FAM153A	0.07	1.75	0.26	0.32
GPR37L1	0.25	0.02	0.09	0.05
SIMC1	9.19	12.06	6.49	11.53
TMEM192	32.81	19.82	13.72	17.46
LOC728554	44.64	36.71	30.63	39.32
HMP19	0.02	0.04	0.01	0
SPDYE5	1.32	0.79	0.46	1.62
SERPINA6	0	0.01	0	0
ZNF778	5.22	2.4	1.85	2.96
NIPA1	7.64	10.16	3.35	11.19
FOXD4	0.1	0	0	0.11
GPR25	0	0.02	0	0
UBE2E1	125.22	85.38	99.87	112.46
MIR4444-1	293.21	239.39	209.09	353.44
SIK2	13.58	6.4	5.46	8.37
RNF150	11.37	0.06	4.38	0.18
CCDC144A	1.15	0.76	0.87	1.36
LOC728673	1.47	2.85	1.31	2.33
VGLL2	0	0	0	0
HOXD4	0.35	0	0.06	0.1
CHRNB1	2.96	2.36	2.38	3.43
HOXD12	0.02	0	0	0.09
GYPA	0.11	0.9	0.04	0.79
USP38	8.73	14.16	8.12	15.67
SLC16A5	0.04	1.17	0.44	0.99
NANP	4.98	0.83	2.05	1.27
ANKK1	0.01	0.13	0.03	0.17
ADRA1B	0.34	0	0.04	0.01
ADPRM	7.37	24.87	6.3	22.77
FABP6	0.21	0.06	0	0
PWWP2A	12.94	15.47	8.21	18.78
USP50	0.1	0	0	0.33
USP47	61.33	39.9	26.95	42.11
PDCD6IP	150.78	119.11	141.6	149.3
MRGPRX1	0	0	0.03	0
ZNF212	8.07	4.84	3.83	6.6
MRAP	0	0	0	0
FAM161A	7.07	1.13	5.8	1.56
ZNF282	7.6	4.1	4.24	4.72
GLB1	62.15	50.08	54.13	46.34
GON7	13.45	11.09	8.75	20.35
FAXDC2	67.99	1.18	12.16	1.15
CRTAP	266.4	45.4	292.94	47.19
HSPB2	4.19	0	3.98	0.07
C7orf33	0	0	0	0
CNGB3	0.01	0.09	0.13	0.03
SLN	0.07	0	0	0
ELP5	15.96	15.94	10.33	17.04
CMTM8	0.49	2.71	1.72	1.72
GABARAP	249.81	184.82	155.38	196.16
LGALS9B	0.01	0.31	0.01	0.2
STX8	65.27	52.71	31.14	59.13
CDK1	27.15	9.1	10.34	28.49
UBB	722.56	770.64	379.54	646.07
NFRKB	5.35	7.86	3.99	8.5
FABP4	1.16	2.7	0.97	0
FRMPD2	0	0	0	0.09
PRDM10	2.34	2.86	1.39	3.69
B3GNT2	27.09	29.83	35.74	35.51
FOS	1036.62	1388.3	969	1168.08
TMED10	207.08	64.87	110.33	79.33
OR2A20P	25.05	2.29	4.63	3.43
SETMAR	15.75	6.35	9.03	6.48
SMAD1	0.61	4.76	4.7	5.31
CST5	0	0	0.97	0
CST2	0.03	0.03	105.33	0
EMX2	0.02	0	0	0
CST1	0	0	6.62	0
SP7	0.02	0.03	0.01	0.16
TCAF2	5.22	5.55	1.68	4.35
SEMA3E	17.8	0	1.69	0.56
LRRN2	0.04	0.37	2.49	0.44
SLC30A1	5.27	5.86	4.87	3.66
DCLK2	14.38	3.05	2.53	1.24
ZNF804A	0.01	4.82	0.21	1.19
GPRC5C	24.52	0.18	1.32	0.38
TMEM182	16.15	21.7	11.68	17.49
VSTM2A	0	0.01	0.01	0.01
KRT8	2.78	0.29	3.01	0.33
KRT78	0	0	0	0
ADORA2B	1.54	0.34	0.94	0.44
SDR9C7	0	0	0.01	0
MGMT	2.68	5.64	2.45	7.49
METTL7B	1.84	3.26	12.27	1.31
KRT86	0	0.01	0.09	0.01
HARS	41.47	29	27.16	31.27
NFXL1	3.44	5.81	3.32	7.87
KRT75	0	0	0	0
DENND5B	6.4	23.08	8.68	23.12
CD14	2.21	10.02	20.87	3.17
DNAJC18	22.54	7.04	11.54	7.86
KRT6C	0	0	0	0
C14orf169	0	0.49	0	0.23
SPATA24	3.25	4.78	2.25	4.7
RALGAPB	30.01	25.27	12.87	29.9
PYM1	12.36	18.99	9.17	22.68
MZB1	0.24	30.6	21.41	60.26
KRT4	0	0.1	0	0
SLC23A1	0.13	1.03	0.16	0.77
KRT74	0	0.08	0	0
NPAS2	13.09	1.52	57.97	1.56
KRT72	0.03	1.17	0.25	0.16
KISS1	0	0	0	0
LONRF2	0.05	0.03	1.25	0.07
NUDT9	38.75	12.47	16.92	16.56
HSD17B13	0.36	0.36	0.07	0.26
PA2G4	176.41	90.99	139.87	120.18
COX7B2	0	0	0	0
ELOVL6	6.85	0.77	7.82	1.2
KRT83	0	0	0	0
PFKFB3	23.78	17.06	26.62	11.24
TMC7	0.09	0.02	0.28	0.03
ARL6IP1	259.13	74.13	90.85	106.9
SERPINB9	64.14	26.08	17.58	29.92
SMAGP	1.81	9.56	1.5	13.58
IRX1	0.1	0	0	0
CDH2	1.39	0.38	8.08	0.43
IRX2	0	0	0	0
EMB	3.32	115.48	31.25	157.1
SIX2	0	0	0	0
DLGAP1	2.37	0.18	0.32	0.43
STAT2	31.18	19.14	47.09	25.97
NUDCD2	22.92	18.37	11.25	18.52
IRF2BP1	1.42	2.25	1.4	2.61
OR9K2	0	0	0	0
HSPA4	109.62	68.07	80.25	92.19
FOXA3	0	0	0.02	0.01
FAM71B	0	0	0	0.03
SLC26A5	0.03	0	0.01	0.08
COMMD5	6.98	7.72	6.67	8.76
SGCD	117.09	0.07	14.73	0.39
GTSF1	1.51	7.33	1.35	15.84
DPY19L2P2	5.2	1.96	2.6	2.01
ZNF16	7.65	5.15	5.75	4.09
ARMC10	67.48	18.68	21.35	22.72
RNF34	11.28	18.74	10.27	23.54
ACYP2	4.43	10.03	3.83	11.17
TRABD	0.6	5.78	4.03	8.27
TMEM133	39.75	1.07	5.98	1.59
ATF7	17.37	7.76	7.21	9.69
RASA4B	0.85	1.78	1.36	4.03
SOCS6	64.2	0.74	28.8	1.12
MURC	0.27	0.15	0.26	0.04
OR10A3	0.05	0	0	0
ZNF296	0.02	1.51	0.11	1.17
HOXB9	0.57	0.01	0	0.01
TTLL6	1.97	0	0.1	0.29
POLH	14.4	15.2	13.19	22.83
SYT9	0.02	0.03	0	0.21
KCNS3	0.32	0	6.86	0.04
RBMXL2	0	0	0	0
KIF5B	38.67	40.24	38.48	41.66
GPR37	30.24	0	2.74	0.43
MIR7706	15.57	50.55	22.82	57.64
TPD52L3	0.05	0	0	0
CDCA4	9.84	2.72	7.83	7.5
OR10A4	0	0.04	0	0.05
SDR16C5	0	0.24	0.08	0.69
DYDC1	0.39	0.63	0.41	0.62
OR10A2	0	0	0	0
CHCHD7	45.9	66.95	26.08	76.31
HTRA3	0.54	0.06	0.02	0.08
FOXN2	43.08	25.43	14.68	29.09
LMOD2	0.02	0.04	0.02	0.04
BFSP2	0.26	4.98	2.14	4.47
FSHR	0	0.06	0	0
CELP	0	0	0	0
USP32	22.03	12.61	16.94	15.27
CEL	0.3	0.13	0.04	0.14
PPM1D	16.26	10.47	8.82	9.95
GPR27	0.33	0.07	0.24	0.08
LOC93622	5.7	9.97	4.26	10.62
PSG6	0	0	0	0.08
KBTBD2	78.89	34.29	35.54	35.58
MINA	23.31	18.36	14.32	19.61
TRIAP1	40.21	14.79	19.16	19.66
LILRP2	0	0	0.01	0
LSM3	27.26	15.75	19.73	17.25
KIAA0232	8.03	5.76	7.57	7.44
MTSS1	118.91	33.6	29.37	27.37
TMEM43	38.05	20.99	28.16	22.76
RNF139	44.62	80.92	47.05	30.99
RPS9	481.44	1256.6	563.28	1500.77
PLA2G1B	0.14	0	0.06	0.15
CYTL1	76.84	0.18	0.02	0.51
TSEN34	9.58	5.13	9.7	5.82
TRH	0	0.01	0.04	0
GSTA4	42.2	1.85	9.87	4.79
MSANTD4	10.49	8.09	22.6	9.45
NDUFA3	76.4	103.53	85.98	104.28
OSCAR	0.31	1.02	2.15	0.33
PAQR8	27.41	5.6	11.58	7.38
NUDT6	7.85	2.8	5.61	1.97
OR7G3	0	0	0	0
TANC2	13.08	1.21	1.06	1.54
OR7G2	0	0	0	0
TEX13B	0	0	0	0
PKHD1	0	0	0	0.05
OR1M1	0	0	0	0
DNAJC24	18.27	13.73	7.12	13.46
MBD3L1	0	0	0	0
ZNF160	14.47	16.31	6.11	13.37
PGK2	0	0	0	0.02
OR8B12	0	0	0	0
ZNF415	1.96	1.16	0.03	2.4
PRKCDBP	4.01	0.04	7.57	0.34
CEACAM3	0	1	0.21	0.86
DCDC5	0.01	0.01	0.07	0.01
HAS2	13.01	0.09	0.38	0.19
PDGFD	99.74	2.59	19.04	6.75
PLAC1	0.3	0	0.07	0
DDI1	0.04	0.02	0.02	0.02
LINC00208	0	0.04	0	0
S1PR1	0.55	49.68	8.85	58.13
HS6ST2	0.41	0.01	0	0.04
OR4D5	0	0	0	0
PYGO1	4.77	0.1	0.13	0.12
LRRC8E	0.45	0.01	0.58	0.02
PKIA	0.27	22.26	3.18	18.68
XKR6	1.99	2.52	0.46	2.79
TSNARE1	2.21	3.53	2.62	2.33
FPR2	0.1	1.03	2.19	0.35
FPR1	1.71	18.02	22.28	2.8
PATE1	0.05	0	0	0
OR13H1	0	0	0	0
FEZ2	62.29	18.38	25.57	16.86
SOX7	2.87	0.59	0.1	0.94
C8orf74	0	0	0	0
C11orf24	52.38	15.47	83.67	25.24
FAM86JP	2.86	1.88	1.34	1.06
ALK	4.51	0.02	2.78	0.14
KYAT1	0.91	4.41	2.15	3.48
MTM1	19.49	17.18	8.43	17.41
SIGLEC17P	0.03	0.28	0.1	0.48
OBP2B	0	0	0	0
TRMT61B	19.29	12.21	7.66	14.39
INSR	3.09	0.45	2.81	0.77
MFN1	32.96	35.26	18.78	28.55
GIMAP8	0.17	7.99	2.51	7.05
HSFX1	0	0	0	0.3
NRTN	0.29	0.1	0.13	0.02
KCNMB3	1.36	3.86	1.55	4.29
FUT3	0.02	0	0.01	0
KCNG3	2.88	0.02	0.34	0
ATP6V0E2	34.29	20.12	15.3	21.86
PRKCE	22.42	11.19	6.18	10.8
OR2K2	0	0	0	0
JAGN1	20.63	10.87	18.18	11.73
RLN3	0.03	0.33	0	0.13
TADA3	34.36	30.21	36.94	36.26
SOCS5	11.28	7.62	6.06	11.54
C1GALT1C1	16.61	10.65	13.89	14.12
C9orf16	1.91	15.36	9.33	19.69
MORN4	4.71	1.01	3.75	0.79
ZNF672	14.09	22.34	15.09	27.91
ZNF692	5.68	10.19	8.08	6.02
NAIF1	3.65	9.36	4.61	8.05
RBKS	1.24	2.62	2.59	1.86
OR2M4	0	0	0	0
GRIK1	0.07	0.02	0.05	0
MUC7	0.1	0	1.57	0.02
OPRPN	0	0	0	0.05
SMR3B	0.03	0	0	0
TMEM126A	26.4	21.93	48.55	20.66
TMEM126B	58.37	48.04	59.94	41.91
TRIM8	6.6	13.47	12.09	15.15
NETO2	6.51	2.28	5.3	2.94
CSN3	0	0	0.06	0
CLDN20	1.11	0.28	0	0.24
CDC42BPG	0.51	0.57	0.14	0.72
SCAND1	0.93	2.88	1.82	2.62
JUNB	21.71	140.2	55.85	80.51
C10orf35	1.64	1.8	4.22	1.78
TMEM37	0.61	2.19	1.37	0.24
UGT2B7	15.02	0	0.22	0.28
LRG1	0.23	0.54	0.19	0.65
SHCBP1	11.59	5.17	5.35	15.61
SOSTDC1	90.06	0.03	0.19	0.02
NPTX1	19.47	0.09	0.02	0.05
FAM98B	32.08	12.81	16.56	19.58
ZNF439	1.76	6.24	3.46	6.83
ZNF440	4.11	2.81	2.63	2.16
GAA	5.29	4.5	8.1	2.86
CANT1	14.39	6.3	8.96	7.94
KCNK3	0.06	0.01	0.03	0.02
ZDHHC16	12.68	12.9	14.98	13.35
CHST11	27.15	45.63	40.55	41.28
EXOSC1	15.52	30.39	24.52	35.99
PGAM1	75.52	87.52	106.38	100.3
CHD7	16.97	34.79	12.55	29.13
ESCO2	16.5	3.29	2.67	10.12
KRT19	0.06	0	0	0
MIR6510	0.1	0.32	0.06	0.24
LURAP1	3.25	0.01	2.16	0.03
KRT38	0	0	0	0
CLCN5	19.89	1.8	2.19	1.37
TPPP	1.48	0.04	2.74	0.08
