GenSymb	LAU125_FPKM	LAU355_FPKM	LAU1255_FPKM	LAU1314_FPKM
LRRC34	0.9	3.06	0.33	1.7
PAH	0.01	0.03	0.01	0.05
SPATA5L1	6.61	5.33	6.16	7.11
GATM	14.87	12.78	5.9	8.69
SYCE1	0	0.38	0.25	0.12
NXNL1	0	0	0	0
RASGRP4	0.14	0.99	0.51	0.72
NHLH1	0.03	0.06	0.02	0.02
SLFNL1	0.04	0.03	0.03	0.07
BCL2	9.13	44.21	14.88	35.82
RHNO1	34.39	33.88	21.54	26.39
CTPS1	15.99	21.13	18.86	23.95
UTF1	0	0	0	0
KNDC1	0	0.01	0	0.02
WDR87	0	0	0	0.02
METTL18	3.74	7.07	3.99	10.06
CFAP46	0	0	0	0.02
COL8A2	0.41	0.2	0.9	0.35
PWWP2B	0.25	0.66	0.34	1.07
PCDHB1	0	0	0	0.01
ZNF540	0.1	0.82	0.14	1.1
ANGPTL7	3.57	0	0.15	0
FBXL14	1.34	2.35	1.2	2.79
EXOSC10	36.49	21.1	27.84	24.21
ZNF570	1.98	2.36	1.56	2.92
NINJ2	1.49	9.19	3	10.97
MLLT3	7.6	21.68	17.33	14.28
FAM90A1	0.02	0.17	0.02	0.06
RRM2	18.33	22.1	35.07	55.31
TRAPPC12	10.11	31.31	23.23	26.26
IFNB1	0	0	0	0.03
RPS21	205.25	668.55	286.34	687.35
C3AR1	0.8	7.87	11.69	2.69
MRM3	5.24	5.44	3.23	5.4
PTEN	27.85	120.57	80.95	141.15
RPS7	664.76	2095.39	1025.24	1961.28
PRND	0.04	0.03	0.01	0.09
RNASEH1	4.49	10.63	10.57	7.8
PRNP	223.41	59.86	105.49	53.13
KLF17	0.11	0	0.17	0.09
ADRA1D	0.02	0	0.02	0
FRMD5	2.5	0.21	1.73	0.18
AQP4	1.74	0	0.18	0.01
CYP4F11	0	0	0.03	0.13
TLN2	8.69	0.29	4.7	0.08
LGALS9C	0	0.38	0.13	0.35
TVP23B	23.64	14.58	9.36	21.86
FBXW10	0.01	0	0	0
OR10H3	0	0	0	0
ZNF217	12.98	37.73	16.08	46.72
OR10H2	0	0.02	0	0
SRGAP2C	31.49	9.57	25.7	12.14
OR52A5	0	0	0	0
SCG2	16.3	0.05	6.56	0.38
ATPAF2	11.03	20.11	8.29	20.65
CYP4F22	0	0.2	0.13	0.3
FOXB1	0	0.02	0	0
PPIH	36.01	53.38	37.14	58.86
DRC3	0.58	0.68	0.2	0.99
ZNF57	2.23	1.39	3.36	1.49
C20orf196	3.74	9.97	4.08	14.44
C11orf40	0	0	0	0
JMJD1C	9.52	42.78	17.75	40.64
LDHAL6B	0.03	0.19	0.01	0.16
SYNPO	10.99	13.62	3.75	9.22
ZNF556	0.01	0.07	0.01	0.09
MAL	0.44	26.96	19.83	18.2
ZNF554	1.51	1.88	1.13	2.13
RAB33B	3.58	5.84	3.39	5.88
THOP1	3.08	5.12	4.56	5.2
ANKRD20A4	0.33	0.06	0.09	0.16
REG3A	0.04	0	0.04	0
GAP43	0.05	0.07	0	0.15
REG1B	0	0	0	0.02
EPHX4	0	0	1.02	0
LAMB2	132.5	0.74	149.65	0.9
USP19	13.59	12.25	16.38	16.03
MIR6890	115.03	117.64	121.18	112.95
ORMDL3	12.26	45.64	21.32	36.15
SERF1A	5.05	1.63	3.22	2.19
KLF11	5.4	13.56	8.84	5.79
LRRC15	0.02	0.01	0	0.01
SMN1	29.05	29.78	30.24	35.37
EIF2AK3	19.44	25.11	18.76	28.59
TEX37	0	0	0	0
MOB3A	5.59	46.47	14.13	52.1
KRCC1	37.87	49.11	11.41	53.5
NME6	9.94	11.87	11.99	13.44
CYCS	149.97	84.21	140.76	82.25
CD8B	0.4	35.94	44.04	30
SLFN12	7.05	3.76	5.17	4.79
CALB2	1	0	0	0
SLC9C1	0.18	0.1	0.24	0.05
OR1A1	0	0	0	0
OR1A2	0	0	0	0
OR8I2	0	0	0	0
LCE1D	0	0	0	0
CCL11	0	0	0	0
FRMD3	0.13	0.59	3.14	0.65
SNTB1	63.54	5.9	9.85	4.01
MTBP	4.26	2.6	2.29	3.39
TEFM	4.85	4.11	2.78	6.92
MRPL13	47.16	19.38	26.71	21.63
MALT1	10.98	42.99	13.91	51.19
PRL	0	0.01	0.02	0.05
ISG20	1.01	31.53	19.63	44.07
OR4C11	0	0	0	0
MBOAT1	7.28	2.05	5.53	2.14
OR8U1	0	0	0	0
ID4	31.97	0.03	10.83	0.13
OR4X2	0	0	0	0
GPR22	0.02	0	0	0.04
CXCR6	0.21	3.46	15.15	10.01
CEBPB	3.51	5.02	10.72	2.81
AZU1	0.15	0.49	0.27	0.34
TPSAB1	0.22	2.69	0.05	0.13
ATOH1	0	0	0	0
PAIP1	66.1	31.2	82.85	29.48
CLEC7A	1.07	6.52	8.5	3.81
C5orf34	2.09	1.73	2.41	3.18
C1QTNF4	0.04	0	0	0.04
SERHL	0.3	0	0.08	0.15
NEGR1	19.88	0.65	0.41	0.83
ZNF131	28.44	40.04	29.01	44.18
MACROD2	4.93	10.64	1.9	15.62
DPAGT1	16.53	14.32	12.83	13.58
BSG	90.06	33.37	110.01	47.03
HINFP	6.29	12.66	5.12	13.12
CDY1	0	0	0	0
OR10V1	0	0.02	0	0
CERS6	15.27	11.08	16.18	9.12
SPTLC3	1.63	0.87	1.93	0.64
COPRS	37.37	9.88	28.22	15.08
TP53RK	10.04	5.18	8.94	7.59
B3GALT1	4.8	0	0.02	0.26
OR5A1	0	0	0	0
CLEC12A	0.58	2.83	3.93	0.84
OR5A2	0	0	0.02	0
BPGM	15.89	11.99	11.56	10.7
POP7	7.36	4.2	5.5	6.26
ALG14	6.23	7.37	8.15	5.63
SUCLG2	53.58	48.87	39.09	49.53
STARD5	1.15	5.96	2.9	5.23
CSDC2	0.05	0.07	0	0
RCAN2	19.23	0.17	0.3	0.87
IL16	3.85	181.38	23.42	175.97
ABCG4	0.09	0.01	0	0.01
CDY1B	0	0	0	0
GNB2	44.05	47.61	40.96	60.9
CFAP53	0.55	0.16	0.27	0.09
OR5B12	0	0	13.31	0.04
OR5B2	0	0	0.87	0
LOC100287175	0.9	1.48	1.64	1.71
PDZD3	0.02	0.07	0	0.04
C2CD2L	2.16	5.67	3.86	4.91
OR9I1	0	0	0	0
MIR5572	43.56	0.31	19.42	1.02
GNG12	74.46	0.16	60.81	1.31
PRSS27	0.13	0.17	0.04	0.04
MYOZ2	0.07	0.03	0.35	0.09
SYNPO2	0.1	0.24	0.49	0.53
DNAJB7	0.07	0.08	0.1	0.18
CLP1	6.08	5.34	13.5	5.24
INSL5	0	0	0	0
EFCAB3	0.5	0.01	0.01	0.01
TTC36	0	0	0	0
RSPH9	0.7	0.24	1.25	0.45
COPS9	13.84	14.03	7.92	13.79
GTPBP2	20.13	28.29	31.2	25.64
FGGY	15.69	5.5	11.63	6.39
OR9G4	0	0	0	0
IL17D	8.61	0.29	1.31	0.28
OR5AR1	0	0	0	0
PRSS30P	0.05	0.11	0.16	0
FUT9	0	0	0	0
OR5AP2	0	0	0	0
TCEAL1	11.22	10.63	14.29	9.55
ZNF24	48.89	50.25	37.62	50.36
HSFY1	0.02	0	0	0
MANEA	11.61	7.62	3.99	9.3
RAB40A	0.09	0.05	0.12	0.01
C2orf54	0.02	0	0	0
AGXT	0.05	0.06	0.05	0.01
OR8J1	0	0.05	0	0.12
OR5T3	0	0	0	0
AFF1	20.67	21.19	18.2	26.83
ACOT12	0	0.02	0.14	0.04
FIBP	47.79	40.13	24.64	46.93
CARNS1	0.08	0.9	0.23	1.33
OR10H5	0	0	0	0
BANP	8.88	12.95	6.72	16.21
PPP1CA	41	113.97	50.78	140.45
HCFC1	8.59	15.65	9.74	14.6
FAM170B	0	0.03	0.02	0.03
CTSW	1.38	47.45	37.82	36.62
NIPAL4	0.14	1.36	0.49	1.57
MUCL1	0	0	0	0
SNTG2	0	0.11	0.14	0.71
FNDC9	0.03	0.25	0.6	0.28
PDE3A	41.59	0.02	1.2	0.05
RASGRP1	0.84	21.08	10.09	22.87
KLHL6	1.11	33.16	4.94	39.48
CHCHD1	4.85	12.21	10.52	14.34
MRPL52	17.57	15.41	19.29	21.03
SMPDL3A	6.4	3.84	9.22	1.45
RND1	0.24	3.62	0.76	1.19
RAD9A	3.49	7.93	3.46	6.79
EFEMP2	21.49	0.46	2.88	1.83
OR10AD1	0.08	0.1	0	0.02
AGAP5	0.28	1.04	0.35	1.1
FAM21C	22.36	44.05	30.17	39.97
TMEM134	2.51	9.17	2.97	8
ZMAT3	43.94	7.02	15.56	8.99
ZFAND4	4.15	16.32	6.48	23.96
THEMIS	0.36	23.79	8.8	13.21
MOS	0	0	0	0.02
MS4A10	0.15	0.1	0.12	0.08
SLFN11	0.7	11.39	5.26	14.26
FAM71D	0	0.13	0.16	0
CCL19	0.06	1.78	0.54	1.75
CORO1B	7.68	6.41	9.58	5.72
FUT10	7.98	3.51	3.1	2.7
LRRC20	2.41	1.49	1.91	1.97
MUS81	6.64	11.12	7.45	12.56
PURG	0.01	0	0	0
TMEM217	1.03	0.08	0.47	0.46
OR4D9	0	0	0	0
ZNF596	5.01	1.94	0.82	1.42
COL6A5	0	0.02	0	0
CFL1	479.14	868.39	470.71	903.76
TMCC1	21.07	14.09	11.17	13.02
NAA16	3.62	15.28	4.94	11.15
OR5B3	0	0	0	0
EFCAB12	0.1	0.81	0.12	0.78
OR10W1	0	0	0	0
FAM192A	34.79	41.48	27.85	44.48
RAB43	0.98	3.48	2.54	2.1
FADS6	0	0	0	0
CBWD1	49.14	33.67	33.86	37.1
HOXC5	0.43	0	0.11	0
RAB37	0.76	30.81	9	33.8
DCP2	15.52	25.1	11.4	33.31
SNX32	1.76	2.77	0.38	0.64
RPL38	570.55	1327.55	671.97	1336.45
CYP7B1	40.88	0.83	0.19	0.26
OVOL1	0.02	0.01	0	0.02
RARG	10.21	2.6	4.86	2.53
CES4A	0.16	0.79	0.4	0.28
CES3	2.07	0.48	4.77	0.39
SSH3	2.07	2.18	1.91	1.23
CES2	11.32	8.57	6.2	6.97
PDP2	2.71	1.59	2.53	1.51
SP3	39.75	46.57	28.6	58.73
KRT2	0	0.1	0.02	0
DMXL1	26.81	52.73	16.46	48.73
METAP1D	5.8	3.69	2.15	2.86
ZNF621	7.85	4.99	6.94	7.02
EGFL7	0.45	0.1	0.14	0.12
NADSYN1	6.85	20.05	22.13	21.19
DHCR7	11.97	6.95	12.69	6.45
FLJ42102	0.44	0.09	0.7	0.62
LVRN	0.09	0.08	0.06	0.05
NBEA	1.14	1.74	1.09	1.95
RNASEH2C	6.32	11.64	5.96	10.66
MYEOV	0.26	0.03	1.27	0.08
ANKRD13D	3.79	16.45	8.63	13.9
MRGPRF	0.02	0	0.01	0
MYD88	19.06	48.05	38.83	45.95
MRGPRD	0	0.02	0	0.02
OXSR1	17.44	19.6	20.95	20.3
SLC22A13	0.01	0	0.01	0.01
PHF8	8.93	16.2	9.96	17.02
LCLAT1	5.29	6.15	4.35	6.41
ADH6	0.21	0.15	0.28	0.36
MIR4435-2HG	9.27	9.9	47.14	11.22
XKR3	0	0	0	0.1
FRG2C	0	0	0.05	0.01
KAT5	30.09	30.36	18.47	36.42
SH3RF3	1.3	1.25	0.17	1.52
GXYLT2	14.88	0.24	5.76	0.19
HPSE2	1.15	0.03	0.03	0.03
DCAKD	6.87	5.54	4.14	5.79
ARPP21	0	0.39	0	0.42
TADA2B	7.91	21.81	8.35	20.44
CCDC96	0.41	1.52	0.79	0.72
GRK2	9.96	127.51	38.12	134.92
RELA	17.31	41.47	22.47	42.13
EVC2	1.13	0.37	0.38	0.38
ZNF680	7.98	9.73	2.71	11.54
MIR6861	7.78	11.56	5.24	13.13
FAM222B	6.62	3.05	4	3.98
BNC2	22.08	0.12	6.26	0.04
1-Dec	0.01	0.09	0.63	0.01
RXFP4	0	0.15	0	0
HPSE	2	3.93	7.26	3.66
COQ2	10.34	7.45	11.29	7.12
CCDC63	0.01	0.01	0	0
HSPA6	5.75	0.8	12.5	1.63
TRMT112	109.48	119.37	90.4	143.37
LRRN3	1.98	4.24	0.31	0.85
KDM2A	19.88	90.17	34.82	62.95
ACSM6	0	0.05	0	0
ADCK5	0.84	0.69	1.5	1.28
MRPL57	4.33	5.45	3.15	6.43
NOC3L	9.75	8.14	8.04	10.08
ESRRA	2.36	2.33	1.84	2.89
RHOD	0.6	0.36	1.14	0.17
ADAMTS20	0.01	0.02	0.04	0.03
COMMD1	34.54	23.14	32.66	25.76
RAPH1	6.89	0.9	8.07	2.76
MTX1	11.01	9.96	10.95	8.4
ADCY5	0.03	0.16	0.03	0
PARP14	8.28	33.85	23.72	38.47
CYSLTR1	13.81	43.06	11.26	39.48
PARP15	5.38	60.13	11.58	37.56
CKS1B	51.54	25.49	46.5	42.1
ABCD2	0.18	3.27	0.9	2.45
AHSA2	4.77	13.27	7.32	12.96
ABLIM3	20.36	0.36	6.24	0.2
MAB21L3	2.42	2.65	1.57	2.18
MFSD4B	1.64	2.31	0.86	1.75
VANGL1	13.07	1.2	12.93	1.67
GLRX	4.25	24.25	20.25	30.36
IQCB1	11	18.86	11.95	19.44
SYT12	0.04	0.09	0.03	0.06
GOLGB1	25.27	11.47	21.17	11.66
C11orf86	0	0	0	0
LIPM	0.01	0.06	0.2	0.02
GPR151	0.02	0	0	0
DMRT2	0	0.06	0	0
ZNF483	0.62	2.44	0.94	1.22
PLAC8L1	0.09	0	0.04	0
SLC2A14	0.02	0.03	0.01	0.7
GPR137	2.99	4.02	3.14	3.02
SNCG	2.91	0.09	0.03	0.03
MMRN2	0.54	0.24	0.58	0.27
MIR4784	11.61	12.12	5.21	15.7
TNKS	23.12	9.81	5.11	12.19
ZNF449	3.82	2.19	1.63	1.39
ZBTB21	5.45	11.18	7.13	6.48
PPP1R3B	12.95	3.48	11.07	3.29
OR10K1	0	0	0	0
FAM86B3P	0.7	0.64	0.48	0.37
GPR148	0	0	0	0
STOX2	0.52	0	1.28	0.02
MAP3K11	18.89	11.63	11.05	10.6
TRIB1	145.6	17.2	98.53	19.74
CST9	0	0	0	0
KCNK7	0.02	0.02	0.01	0.08
SFT2D3	1.75	0	0.36	0
C1QB	1.97	143.8	263.28	10.52
C1QA	1.08	89.03	166.56	8.25
NDNF	0.71	0.02	0.01	0
IQCF1	0	0	0	0
OLR1	0.87	0.16	16.7	0.83
GLIPR1L1	0.02	0.06	0.02	0.09
DAG1	50.36	5.37	58.75	5.71
INSM1	0	0.12	0.03	0.19
DAB1	0.03	0.27	0.02	0.35
ARV1	26.8	16.47	17.43	17.73
NAA20	51.95	20.98	38.23	26.89
CCDC36	2.25	0.79	0.46	1.01
RNASE8	0	0	0	0
SAA1	0	0.12	0	0
MINOS1	152.31	48.23	48.79	48.24
EHBP1L1	6.66	28.3	18.22	25.98
THAP2	1.07	1.58	0.65	2.33
TMEM196	0.05	0	0	0
RNF26	7.33	6.36	3.87	7.18
PPP1R14B	34.04	36.9	20.23	36.67
RNASE11	0	0	0.03	0
SSSCA1	3.17	6.2	3.08	8.13
AGR3	0	0	0	0
SMARCC1	61.56	63.7	48.54	72.42
ZNF417	1.12	2.11	1.33	2.29
PTPRM	98.11	1.63	27.32	1.13
FKBP2	32.13	24.2	29.59	31.91
VEGFB	38.94	23.1	28.37	23.09
PEAK1	13.98	5.97	3.58	5.02
TNFRSF10D	6.52	5.42	0.75	3.23
MST1	1.4	0.8	2.62	1.01
LOC254896	0.86	0.27	0.36	0.33
GMPPB	3.23	7.07	6.11	5.51
MOB1B	8.86	7.26	6.33	10.1
ZNF622	8.66	14.38	21.53	16.95
CSPG4	37.32	0.03	8.21	0.36
SNX33	4.16	0.49	5.01	0.51
C2orf70	0.8	0	0.24	0.01
NABP1	6.89	33.47	17.86	25.72
ADGRF3	0.03	0.3	0.29	0.41
NLRP13	0	0	0	0
MIR3175	19.42	55.2	21.78	46.96
XCR1	0.02	2.67	0.38	1.31
CCDC106	0.65	4.42	1.83	4.3
CCR9	0	0.58	0.12	1.21
CEP83	4.28	2.86	2.37	3.71
SULT1B1	0.05	2.4	0.19	0.54
NUDT4	52.43	20.96	37.06	28.55
PC	3.22	0.58	4.68	1.06
UGT2A1	0	0	0	0
SCAI	1.33	4.53	2.37	4.99
GPRC6A	0	0.01	0	0
NMNAT1	23.18	5.86	3.6	5.95
LRFN4	0.05	0.16	1.34	0.08
TRAPPC3L	0.04	0.02	0.71	0.02
APOBEC4	0.01	0.01	0	0.01
SLC19A1	2.54	2.2	2.74	1.09
HSPB7	29.92	0.01	0.6	0.01
RCE1	2.46	4.49	10.1	4.85
UQCRH	178.75	138.06	130.66	142.33
TAS1R1	1.75	0.08	0.09	0.03
HES3	0	0	0	0
EIF1AX	45.46	50.85	32.34	36.12
SPDYE2B	0	0.06	0.03	0
OR1L1	0	0.02	0	0
CXorf23	4.67	4.71	3.1	5.17
PSMD1	50.92	39.07	36.67	37.75
ADGRG2	0.4	0.08	0.14	0.42
SPATA3	0	0	0	0.01
MUC13	0	0.03	0.01	0
SUSD5	0.09	0.16	4.42	0.37
HEG1	6.24	9.94	16.24	9.92
WFIKKN2	0	0	0	0
C11orf80	1.82	9.84	12.8	10.54
TOMM20	147.16	104.83	116.11	116.41
C1orf100	0.1	0.32	0	0.09
AGFG1	37.45	32.51	25.57	41.4
STAT5B	24.8	48.55	26.5	50.76
CD7	0.13	16.4	9.08	14.74
TOPAZ1	0	0.02	0	0
CNP	49.03	13.05	25.67	14.1
JUP	1.62	6.59	2.27	7.66
HAP1	0.22	0.51	0.33	0.5
TDRD12	0	0	0	0
CCDC13-AS1	0.16	0.1	1.08	0.03
EIF1	388.29	597.28	563.92	408.97
ENDOV	4.2	2.84	1.96	1.9
RNF213	22.15	49.62	38.24	39.27
TIGD3	0.07	0.3	0.08	0.25
KCNH6	0	0	0	0.02
10-Mar	0.15	0.01	0	0.06
PLK3	4.27	9.39	27.76	8.82
NET1	6.08	18.61	18.17	22.26
DPY19L1	30.01	12.11	10.89	16.52
PHOSPHO1	0	0.42	0.11	0.47
ZNF791	9.91	21.73	9.69	18.28
PHC3	22.3	60.29	30.42	45.94
GPR160	1.15	33.65	6.8	42.67
CBX2	0.89	0.09	0.14	0.39
SPTBN2	0.26	0.34	4.16	0.17
GOLIM4	9.75	4.14	13.73	5.23
KRT28	0	0.01	0	0
RBM4B	5.98	9.53	9.2	7.41
MIR1307	60.53	71.52	122.31	90.71
HOXB2	7.26	4.14	1.99	4.04
C1QTNF1	7.73	0.04	4.43	0.6
3-Mar	14.34	11.82	3.68	8.12
SWSAP1	0.85	0.8	0.56	1.03
SLCO4C1	0.01	0.3	0.15	0.46
RBM4	47.98	55.41	93.54	61.36
PIFO	0.84	0.25	1.27	1.23
XXYLT1	13.23	4.56	9.49	4
UBXN2A	8.02	7.39	11.53	8.51
RAX2	0	0	0	0
LRRC63	0.02	0.17	0.1	0.02
TCAP	0.12	0.3	0.07	0.26
CCS	6.55	15	29.95	13.57
NRROS	2.41	6.68	7.46	4.11
CEP19	4.4	2.29	3.09	2.66
KLHL15	5.99	5.99	8.08	4.49
FBXO45	7.37	4.02	4.93	5.74
SPERT	0	0.01	0	0
FAM46D	0	0	0.03	0
GNG5	94.6	68.52	121.75	97.22
SLC25A30	6.8	14.94	7.87	13.37
C9orf131	0.03	0.12	0.05	0.09
CD34	0.14	0.03	3.79	0.25
CTSF	37.39	6.24	35.21	4.32
MSRB3	8.58	0.46	0.31	0.81
LEMD3	7.06	10.56	4.6	10.31
C16orf91	3.6	4.55	3.46	4.14
TLR10	2.02	106.75	3.44	115.98
TLR1	6.68	34.21	12.45	28.77
TLR6	3.22	20.75	2.52	28.35
FAM174A	11.08	6.22	14.42	5.35
RGMB	2.9	5.4	12.55	4.8
FAM53A	0.19	0.21	0.17	0.21
NWD2	0	0	0	0.01
CYB561D1	1.02	8.81	3.22	6.47
GSTA3	0	0	0.06	0.12
ZDHHC24	1.97	5.2	1.7	3.81
LOC105370792	0.01	0.08	0.1	0.18
TRMT10C	22.4	20.21	28.37	17.92
SELP	0.04	2.41	0.34	1.08
CTU2	1.23	1.17	1.08	2.16
MGA	5.92	10.85	5.15	13.22
C12orf66	3.1	7.08	2.73	6.96
ARL13A	0	0	0	0.08
SNX31	0.01	0	0.01	0
PIGG	10.55	18.21	8.19	13.65
PRPF8	64.15	62.38	30.73	81.48
ADCY6	4.21	0.04	6.14	0.13
REP15	0.78	1.27	0.08	1.31
PITPNA	27.11	23.81	13.89	24.79
DDX23	34.85	34.4	24.59	39.26
ZNF80	0.12	0.79	1.06	0.6
ZNHIT2	0.11	0.2	0.26	0.42
EVX2	0	0.01	0	0
ZBTB4	9.85	26.66	11.11	26.63
TNK1	0.04	1.33	0.33	1.2
ZHX3	6.1	4.47	3.24	4.95
PHLDA3	5.48	0.29	6.78	0.57
DIRC1	0	0	0	0.04
SLC16A11	0	0.08	0.04	0.03
SLC16A13	0.07	1.8	0.42	1.44
GLIS1	0	0	0	0.02
OR2Y1	0	0.02	0	0
CHRNA9	0.01	0.07	0.05	0.07
PODN	0.1	0.01	0.09	0
TRIM74	4.18	7.72	3.95	9.38
SLC6A19	0	0	0	0
SNHG11	5.22	5.6	4.33	2.57
C11orf45	0.28	0.3	1.2	0.07
EXO1	10.57	2.16	4.71	6
RALGAPA1	7.58	9.98	6.45	8.27
LIG4	9.98	5.25	2.7	9.85
MIR133A2	0	0	0	0
TRHR	0.02	0	0	0
GTF2IRD2B	16.34	11.75	6.42	10.6
ABRA	0	0.02	0	0.02
ATP2A2	53.83	25.6	46.13	25.59
ZWILCH	9.06	5.16	6.7	8.62
RPL4	1897.51	3596.48	1900.36	3112.88
SNAPC5	25.17	20.53	18.22	18.7
STARD6	0	0	0	0.06
GOLGA6L2	0.01	0	0	0
VWC2L	0.01	0.02	0	0.03
C12orf76	4.71	4.45	2.69	5.13
ZCCHC12	0.41	0.31	0.05	0.36
CNTNAP2	0.02	0.9	0.05	1.76
GALNTL6	0.6	0.54	0.43	0.63
LINGO2	8.56	0.06	0.02	0
BBS1	10.71	5.69	4.27	5.46
DENND4A	4.17	20.09	4.67	23.56
IGDCC3	0	0	0	0.02
GCSAM	0.24	38.18	4.57	78.46
ANKRD36C	1.98	2.98	2.56	2.12
SLC26A9	0	0.04	0	0.02
MFSD4A	0.85	1.22	0.4	1.6
PELI3	1.83	2.21	2.43	2.35
TTC9B	0.07	0	0	0
MYO1H	0.01	0	0	0.02
TMEM81	1.51	1.14	1.04	1.91
MRPL11	20.65	29.92	17.07	30.88
KLK15	0	0	0	0
IL20RB	0.64	0.5	0.37	0.08
GOLT1A	0.12	0.17	0.25	0.14
AKIRIN1	50.11	56.24	47.77	53.76
NPAS4	0.01	0	0	0
MSL2	13.52	56.55	24.38	52.41
ZNF497	1.03	1.52	1.07	1.08
TRAM1L1	0.41	0	1.17	0
CMKLR1	0.09	4.62	3.77	1.28
ANGEL2	14.42	23.53	11.74	24.24
UGT8	5.04	10.8	8.34	11.96
KY	0.24	0	0.07	0
IQCK	11.01	1.07	5.61	1.02
SLCO2A1	0.04	0.04	0.03	0.01
ZNF266	9.79	19.55	10.98	13.56
OR7D4	0	0	0.02	0
SLC29A2	0.43	1.34	0.61	0.87
BRSK2	0.27	0.05	0.3	0.07
B4GAT1	18.77	1.99	8.51	3.18
TMEM167A	61.9	34.88	42.42	42.61
LEP	0.1	0.04	0.09	0
SH3PXD2B	7.32	0.65	4.84	0.32
KIAA1551	12.03	105.16	21.17	79.36
LARP7	49.85	45.32	40.41	52.24
FGFBP3	0.41	0.71	0.59	0.38
NR1D2	15.67	25.5	18.84	19.63
PABPC5	4	0	1.04	0.07
BRMS1	16	27.71	13.86	32.82
RPL15	838.36	1628.24	1200.75	1744.03
C4orf32	3.38	5.16	2.8	7.96
HRAS	5.6	4.61	5.82	7.49
WDR49	0	0.39	0.16	0.23
SRP72	93.17	73.38	54.47	78.24
PCP2	0	0.31	0.06	0.41
RIN1	0.86	0.3	0.82	0.15
C4orf26	0.18	0.29	0.14	0.33
THAP6	6.97	7.44	5.56	8.46
CEP135	4.69	9.01	4.85	10.71
FZD4	1.54	0	0.98	0
CD248	1.24	1.52	0.2	0.33
BTC	0	0.09	0.14	0.03
PDZK1	0.36	0.11	0.59	0.39
ADGRE1	0.08	2.46	1.08	0.9
DENND6A	34.92	32.03	13.99	21.84
PDE12	7.97	7.43	10.4	10.54
GLMN	2.66	4.19	2.4	5.01
DNAH12	0.04	0.02	0.03	0.14
YIF1A	17.88	9.75	13.1	12.07
CNIH2	1.57	0.05	0.76	0.24
AMY1B	0.06	0.02	0	0
NLRP6	0	0.2	0.04	0.17
NDUFA11	23.94	29.71	28.22	30.92
RSRC1	25.13	17.45	21.92	14.09
CATSPERD	0.05	0.01	0.05	0.02
PQLC2L	0.12	0	4.39	0.09
RAB1B	119.2	113.78	72.94	125.65
OR9G1	0	0	0	0
PTDSS2	8.15	2.77	3.58	3.46
C19orf70	7.2	10.09	10.14	9.77
C3orf33	3.84	2.26	3.01	1.64
OR5M3	0	0	0	0
SEZ6L2	1.71	0	11.68	0.01
ASPHD1	0.09	0	1.33	0
KCTD13	2.38	5.04	4.5	4.63
P2RY14	0.09	14.57	1.55	14.39
AMZ1	0.07	0.51	0.08	0.24
GPR171	0.17	18.03	8.21	10.36
GPR149	0	0	0	0
CD164L2	0.06	0.02	0.02	0
FUT1	0.12	0.11	0.03	0.11
DHX36	27.17	32.73	25.41	32.14
OR5J2	0.1	0	0.05	0.02
ZIC4	0.6	0	0.01	0
OR10AG1	0	0	0	0
OR4S2	0	0	0	0.05
FBXW8	9.29	3.64	3.59	5
CA5A	0	0.1	0	0.04
ZG16	0	0	0	0
KLC2	2.03	4.06	3.49	5.94
SLC22A1	0.3	0.05	0.16	0.01
TEX36	0	0	0.03	0
CTBP2	14.35	3.06	13.16	2.64
CHST2	1.32	4.9	1.33	4.12
ZDHHC14	7.9	8.05	6.46	9.58
ATR	8.09	20.38	14.28	20.75
LRRC75A-AS1	379.6	358.37	201.82	394.73
UBE2C	36.36	17.04	23.71	32.86
DSG4	0	0	0	0
GK5	10.66	3.22	3.12	3.83
VCPIP1	4.38	6.99	4.35	10.03
RTP1	0.02	0	0	0.03
DES	0.04	0	0.03	0
PDIK1L	9.6	3.89	1.88	4.92
SPSB4	0	0.14	0	0
RAG2	0.04	0	0.07	0.22
TRAF6	7.33	15.85	10.95	12.68
ZNF654	6.72	8.47	5.49	8.5
TVP23C	3.72	5.56	4.27	8.54
MRPS22	48.65	30.5	55.74	36.28
PACS1	14.61	108.8	31.67	98.28
WFDC5	0	0	0	0
MARCKSL1	206.27	101.91	74.85	126.13
SH3BP5L	3.35	6.37	4.1	7.26
OR2T1	0	0.02	0	0
TMEM51-AS1	4.89	0.12	0.29	0.06
YPEL2	2.12	7.96	2.83	4.52
CADM2	0	0.26	0.05	0
ABO	0	0.05	0	0.09
PSMD2	94.31	61.21	91.73	61.77
FAM182B	1.18	0.04	0.04	0.02
PPM1E	0.11	0.23	0.4	0.51
FAM131A	2.55	1.78	4.05	2
CSRP2	1.24	0.36	7.25	0.24
INHBC	0.03	0.05	0.02	0
PARL	42.7	47.78	42.98	35.08
DDIT3	49.2	17.8	55.16	12.97
PCCA	7.22	5.85	6.89	6.65
HIGD2B	0	0	0	0
DCTN2	45.05	31.72	39.84	34.25
NPPA	0.08	0	0.08	0
ZNF408	1.84	1.94	2.45	2.49
CTDSP2	31.14	58.48	40.39	62.8
CKAP5	38.68	12.66	21.44	21.38
ARHGAP1	32.23	21.05	18.6	21.56
MED16	2.05	4.01	1.77	4.31
ATG13	38.59	45.66	50.47	46.45
GAL3ST3	0	0	0	0
C1orf127	0.08	0.07	0.11	0.15
CHST1	0.01	0	0.04	0.05
