Gene	A	B	C	D	E	F	G	H	I	J	K	L
TXK	0.348841	0.371799	0.51522	0.507044	0.52342	0.728214	0.172921	0.086248	0.107974	0.506462	0.565288	0.334939
UBASH3A	0.394799	0.396273	0.93441	1.0	0.61706	0.069064	0.207316	0.136504	0.181168	0.856091	0.661548	0.877971
UGCG	0.013042	0.011675	0.015875	0.011595	0.010064	0.004754	0.008538	0.011256	0.007823	0.015706	0.011256	0.015904
VASH2	0.008695	0.00493	0.040033	0.048749	0.020906	0.018452	0.03323	0.075908	0.144236	0.207076	0.068026	0.125434
VCAN	0.380085	0.399488	0.046906	0.049661	0.113496	0.152934	0.472886	0.664252	0.624409	0.000241	0.0	0.022258
VEGFA	0.217671	0.189516	0.050211	0.018789	0.069257	0.103621	0.297855	0.433154	0.431162	0.02128	0.05166	0.0104
VNN2	0.140468	0.138008	0.04372	0.044283	0.076098	0.095473	0.344411	0.18845	0.196078	0.036044	0.040788	0.016785
VNN3	0.072843	0.080833	0.011344	0.019072	0.035216	0.047697	0.278665	0.185961	0.193542	0.0	0.01673	0.01011
VPREB3	0.270563	0.25948	0.044355	0.042196	0.054755	0.069304	0.240274	0.125394	0.120677	0.023385	0.029622	0.0
VSTM1	0.499639	0.499199	0.13461	0.202908	0.097605	0.309205	0.726943	0.991195	1.0	0.05141	0.09835	0.262017
XCL1	0.020761	0.00647	0.01562	0.005947	0.020074	0.043526	0.004673	0.003062	0.001372	0.001067	0.024328	0.0
YES1	0.083961	0.080423	0.053671	0.048421	0.087763	0.195048	0.062516	0.039841	0.052177	0.072851	0.108822	0.067715
YPEL1	0.37309	0.398863	0.264689	0.278348	0.442594	1.0	0.237246	0.135218	0.115164	0.24311	0.380087	0.265866
ZAK	0.233517	0.24664	0.081533	0.099988	0.134962	0.134483	0.299438	0.445623	0.44486	0.035109	0.106015	0.106741
ZAP70	0.291141	0.264177	0.413381	0.432883	0.496632	0.691486	0.179195	0.068389	0.063818	0.463468	0.471296	0.402131
ZBTB16	0.404808	0.393791	0.270763	0.28405	0.497033	1.0	0.260401	0.167401	0.192245	0.198239	0.453745	0.196392
ZBTB46	0.090716	0.063871	0.034916	0.004897	0.019538	0.133915	0.204812	0.198425	0.270172	0.0	0.020439	0.031722
ZEB1	0.050433	0.085408	0.451438	0.319584	0.014714	0.035009	0.018266	0.0	0.037038	0.213775	0.107733	0.710264
ZNF430	0.807308	0.793819	0.95828	0.936246	0.914514	0.767809	0.693949	0.548472	0.477857	1.0	0.873117	0.882436
ZNF503	0.207641	0.262081	0.095749	0.165324	0.162416	0.203356	0.278658	0.461335	0.435263	0.03014	0.175839	0.169523
ZNF711	0.072661	0.071188	0.087233	0.018796	0.033367	0.000295	0.034677	0.0	0.012931	0.046629	0.08625	0.041062
ZNF827	0.08979	0.085627	0.120476	0.120757	0.147916	0.105566	0.060133	0.034686	0.010584	0.113884	0.179136	0.100128
ZNF836	0.162864	0.287271	0.216075	0.271598	0.279659	0.222569	0.123233	0.104204	0.021222	0.271866	0.30659	0.265399
