MADD	ENSG00000110514
LOC105374328	ENSG00000232642
METTL11B	ENSG00000203740
LINC00694	ENSG00000225873
LCN9	ENSG00000148386
HARS2	ENSG00000112855
ERBIN	ENSG00000112851
AGMAT	ENSG00000116771
PCDHB2	ENSG00000112852
ENTPD3-AS1	ENSG00000223797
UBE2E1-AS1	ENSG00000223791
2-Mar	ENSG00000099785
HNRNPM	ENSG00000099783
RTEL1-TNFRSF6B	ENSG00000026036
MIR3617	ENSG00000266071
TXLNG	ENSG00000086712
MIR5693	ENSG00000266072
BAHCC1	ENSG00000266074
PPEF1	ENSG00000086717
SNORA59B	ENSG00000266079
MIR4432	ENSG00000266078
ALOX12P2	ENSG00000262943
SNORA12	ENSG00000212464
KCNJ1	ENSG00000151704
CELF6	ENSG00000140488
FLI1	ENSG00000151702
ABHD17B	ENSG00000107362
ADPGK-AS1	ENSG00000260898
CCDC33	ENSG00000140481
LOC100507334	ENSG00000261760
LOC100508631	ENSG00000261761
IQCE	ENSG00000106012
ANKRD7	ENSG00000106013
MIR5002	ENSG00000266383
MIR5703	ENSG00000266382
VIPR2	ENSG00000106018
POLR2J2	ENSG00000228049
LOC101927787	ENSG00000228044
OR10G8	ENSG00000234560
PTENP1-AS	ENSG00000281128
ZNF500	ENSG00000103199
CRISPLD2	ENSG00000103196
TSC2	ENSG00000103197
USP10	ENSG00000103194
PDGFRB	ENSG00000113721
CDX1	ENSG00000113722
SLC35F2	ENSG00000110660
CFAP221	ENSG00000163075
NOSTRIN	ENSG00000163072
SPATA18	ENSG00000163071
RNF14	ENSG00000013561
DNASE1L1	ENSG00000013563
KLHL42	ENSG00000087448
PACRG-AS1	ENSG00000281692
RBM5-AS1	ENSG00000281691
MIR664A	ENSG00000281696
BORCS8-MEF2B	ENSG00000064489
DAZAP2	ENSG00000183283
PLGLB1	ENSG00000183281
CCBE1	ENSG00000183287
SLC20A2	ENSG00000168575
UNC13D	ENSG00000092929
LOC105371508	ENSG00000262231
LOC105372069	ENSG00000267039
LOC100240728	ENSG00000225488
NUTM2B-AS1	ENSG00000225484
TCF21	ENSG00000118526
CTGF	ENSG00000118523
ARG1	ENSG00000118520
DLGAP1-AS3	ENSG00000263724
LINC00399	ENSG00000229792
LSM14B	ENSG00000149657
SNX32	ENSG00000172803
FBN2	ENSG00000138829
SPINT4	ENSG00000149651
CD40LG	ENSG00000102245
OR4N5	ENSG00000184394
HTATSF1	ENSG00000102241
SLC39A8	ENSG00000138821
VGLL1	ENSG00000102243
MTTP	ENSG00000138823
HLA-F-AS1	ENSG00000214922
GRIK5	ENSG00000105737
ZNF574	ENSG00000105732
SPATA31D1	ENSG00000214929
C16orf71	ENSG00000166246
SUCLG2-AS1	ENSG00000241316
PRICKLE3	ENSG00000012211
XRCC4	ENSG00000152422
PACSIN3	ENSG00000165912
DDN	ENSG00000181418
LINC01535	ENSG00000226686
RAPSN	ENSG00000165917
TTC7B	ENSG00000165914
SLC39A13	ENSG00000165915
ENTPD1-AS1	ENSG00000226688
STEAP4	ENSG00000127954
GNAI1	ENSG00000127955
PMS2P3	ENSG00000127957
FGL2	ENSG00000127951
STYXL1	ENSG00000127952
ANGPTL5	ENSG00000187151
YPEL4	ENSG00000166793
TTTY8	ENSG00000183385
PPIB	ENSG00000166794
FAM96A	ENSG00000166797
LDHC	ENSG00000166796
MEIOB	ENSG00000162039
DNAH1	ENSG00000114841
LOC105375732	ENSG00000254209
TNFRSF4	ENSG00000186827
PRAMEF7	ENSG00000204510
NPIPB11	ENSG00000254206
MGAT4A	ENSG00000071073
LOC101929422	ENSG00000259004
TGFB3	ENSG00000119699
HN1L	ENSG00000206053
DOK6	ENSG00000206052
LOC105369203	ENSG00000258754
MRPS31P5	ENSG00000243406
LOC105374366	ENSG00000251580
PROKR2	ENSG00000101292
MIR4419A	ENSG00000266802
CDS2	ENSG00000101290
TBRG1	ENSG00000154144
NRGN	ENSG00000154146
MIR548AE1	ENSG00000266808
SNPH	ENSG00000101298
SPRR2G	ENSG00000159516
VCX2	ENSG00000177504
MIR4500HG	ENSG00000228824
BDNF-AS	ENSG00000245573
LOC101927204	ENSG00000245571
NDUFB6	ENSG00000165264
DYRK4	ENSG00000010219
AQP7	ENSG00000165269
ADNP	ENSG00000101126
IARS	ENSG00000196305
CSMD3	ENSG00000164796
KCNV1	ENSG00000164794
LOC731157	ENSG00000255647
COX10	ENSG00000006695
OR4N4	ENSG00000183706
MUL1	ENSG00000090432
WNT1	ENSG00000125084
IFNL2	ENSG00000183709
LOC101927495	ENSG00000250230
SNORD116-8	ENSG00000207093
MIR3142HG	ENSG00000253522
HPYR1	ENSG00000253521
IL15	ENSG00000164136
NAA15	ENSG00000164134
TAT	ENSG00000198650
SRSF5	ENSG00000100650
SLC10A1	ENSG00000100652
INSIG2	ENSG00000125629
KRTAP5-9	ENSG00000254997
ANKHD1-EIF4EBP3	ENSG00000254996
STX16-NPEPL1	ENSG00000254995
BRK1	ENSG00000254999
FAM86JP	ENSG00000171084
NEK5	ENSG00000197168
ZNF785	ENSG00000197162
SULT1A2	ENSG00000197165
DEFB121	ENSG00000204548
LOC388820	ENSG00000243627
LINC00880	ENSG00000243629
MUC21	ENSG00000204544
DEFB122	ENSG00000204547
ERFE	ENSG00000178752
PSORS1C1	ENSG00000204540
STX19	ENSG00000178750
C6orf15	ENSG00000204542
TRAPPC6A	ENSG00000007255
MIR2276	ENSG00000252695
CBFA2T3	ENSG00000129993
SYT5	ENSG00000129990
TNNI3	ENSG00000129991
LINC00869	ENSG00000277147
TYW1B	ENSG00000277149
RNU105C	ENSG00000199212
PATJ	ENSG00000132849
CFLAR	ENSG00000003402
CASP10	ENSG00000003400
BHMT2	ENSG00000132840
AP3B1	ENSG00000132842
ZBED3	ENSG00000132846
MFSD2B	ENSG00000205639
LINC00898	ENSG00000205634
LINC00583	ENSG00000205636
FAM133A	ENSG00000179083
ZNF324B	ENSG00000249471
LINC01327	ENSG00000241669
PRDM1	ENSG00000057657
KDM4A	ENSG00000066135
IL36RN	ENSG00000136695
IL36A	ENSG00000136694
IL1F10	ENSG00000136697
IL36B	ENSG00000136696
SMPD4	ENSG00000136699
CFC1	ENSG00000136698
FMN2	ENSG00000155816
MIR642A	ENSG00000207773
LRRTM1	ENSG00000162951
MIR551A	ENSG00000207776
MIR548A1	ENSG00000207775
MIR15B	ENSG00000207779
MIR3591	ENSG00000207778
MIR6071	ENSG00000278783
HOXD11	ENSG00000128713
HOXD10	ENSG00000128710
HOXD13	ENSG00000128714
ZNF195	ENSG00000005801
MIR145	ENSG00000276365
HIST1H2AJ	ENSG00000276368
ST3GAL2	ENSG00000157350
LRFN4	ENSG00000173621
APOBEC4	ENSG00000173627
TRAPPC3L	ENSG00000173626
TMLHE-AS1	ENSG00000224533
MIR7849	ENSG00000278438
SMIM13	ENSG00000224531
MIR6070	ENSG00000278433
LOC102725019	ENSG00000232080
RPS6KA2-IT1	ENSG00000232082
TTPA	ENSG00000137561
GGH	ENSG00000137563
EFCAB1	ENSG00000034239
MIR1257	ENSG00000130699
CEP85	ENSG00000130695
ZNF384	ENSG00000126746
EMG1	ENSG00000126749
KHDRBS1	ENSG00000121774
TMEM39B	ENSG00000121775
AQP6	ENSG00000086159
LOC100996693	ENSG00000072195
CARS	ENSG00000110619
ZCWPW2	ENSG00000206559
TRIM43	ENSG00000144015
TRIM71	ENSG00000206557
KRBOX1-AS1	ENSG00000206552
SNORA17A	ENSG00000281808
DEUP1	ENSG00000165325
CRACR2A	ENSG00000130038
KCNA5	ENSG00000130037
GALNT8	ENSG00000130035
MIR4695	ENSG00000265606
MKRN2	ENSG00000075975
FAM50B	ENSG00000145945
MYLK4	ENSG00000145949
LOC101927934	ENSG00000251169
MIR92B	ENSG00000231064
MRPS22	ENSG00000175110
PACS1	ENSG00000175115
LINC00395	ENSG00000231061
ST7-OT4	ENSG00000214188
DUSP6	ENSG00000139318
KRTAP21-3	ENSG00000231068
TEX101	ENSG00000131126
ZNF141	ENSG00000131127
KIZ-AS1	ENSG00000232712
ZFP92	ENSG00000189420
NDUFB4	ENSG00000065518
HDAC8	ENSG00000147099
OR10K2	ENSG00000180708
IKBKE	ENSG00000263528
CRAT40	ENSG00000263520
MIR378G	ENSG00000263526
MIR4526	ENSG00000263527
CPXM1	ENSG00000088882
EBF4	ENSG00000088881
SYP	ENSG00000102003
CACNA1F	ENSG00000102001
PLP2	ENSG00000102007
DNASE1	ENSG00000213918
TRIM2	ENSG00000109654
FMO5	ENSG00000131781
WDR11	ENSG00000120008
PIAS3	ENSG00000131788
THCAT158	ENSG00000263293
WBP2	ENSG00000132471
ITGB4	ENSG00000132470
MIR4738	ENSG00000132475
MIR1323	ENSG00000221017
UNK	ENSG00000132478
SWAP70	ENSG00000133789
GEMIN4	ENSG00000179409
CHSY1	ENSG00000131873
SNRPA1	ENSG00000131876
PPP2R5C	ENSG00000078304
MUTYH	ENSG00000132781
NASP	ENSG00000132780
FGF10-AS1	ENSG00000248464
LOC101929745	ENSG00000248461
LOC100996385	ENSG00000248469
ASPM	ENSG00000066279
AZU1	ENSG00000172232
LOC105376594	ENSG00000254594
C17orf49	ENSG00000258315
TPSAB1	ENSG00000172236
PAIP1	ENSG00000172239
ATOH1	ENSG00000172238
PTCD2	ENSG00000049883
DEFB115	ENSG00000215547
DEFB116	ENSG00000215545
LINC01491	ENSG00000259572
BLID	ENSG00000259571
SEC14L6	ENSG00000214491
LOC105369860	ENSG00000258220
PRSS58	ENSG00000258223
CLEC5A	ENSG00000258227
RPL19	ENSG00000108298
BFSP1	ENSG00000125864
JADE1	ENSG00000077684
IFI44L	ENSG00000137959
GSN	ENSG00000148180
GSTT2B	ENSG00000133433
RABGGTB	ENSG00000137955
MRRF	ENSG00000148187
RBM12B	ENSG00000183808
ZNF329	ENSG00000181894
ZNF101	ENSG00000181896
MDGA1	ENSG00000112139
PHACTR1	ENSG00000112137
RNF8	ENSG00000112130
PCDHA13	ENSG00000239389
ASB14	ENSG00000239388
ALKBH6	ENSG00000239382
FAM98A	ENSG00000119812
ATF6B	ENSG00000213676
NCKIPSD	ENSG00000213672
CYP24A1	ENSG00000019186
HPS4	ENSG00000100099
SH3BP1	ENSG00000100092
LGALS1	ENSG00000100097
MAN2B1	ENSG00000104774
ATP6V0B	ENSG00000117410
B4GALT2	ENSG00000117411
ERI3	ENSG00000117419
HAUS1	ENSG00000152240
C18orf25	ENSG00000152242
NMRK1	ENSG00000106733
LZTS2	ENSG00000107816
OR5AK2	ENSG00000181273
FRAT2	ENSG00000181274
WFDC3	ENSG00000124116
OR56A5	ENSG00000188691
ZNF98	ENSG00000197360
FBXL22	ENSG00000197361
ZNF786	ENSG00000197362
ZNF517	ENSG00000197363
S100A7L2	ENSG00000197364
ANO4	ENSG00000151572
DRD3	ENSG00000151577
QTRT2	ENSG00000151576
VPS28	ENSG00000160948
TONSL	ENSG00000160949
PARN	ENSG00000140694
CYB5B	ENSG00000103018
ARMC5	ENSG00000140691
IDS2	ENSG00000238039
PTCD3	ENSG00000132300
STARD4-AS1	ENSG00000246859
LOC401312	ENSG00000238033
FLG2	ENSG00000143520
ZNF280A	ENSG00000169548
LOC100128531	ENSG00000203280
SCARNA3	ENSG00000252906
SNHG12	ENSG00000197989
MIR4323	ENSG00000266226
MIR3611	ENSG00000266228
LEKR1	ENSG00000197980
PPP1CB	ENSG00000213639
C1orf122	ENSG00000197982
SNORD17	ENSG00000212232
MIR300	ENSG00000215957
MIR921	ENSG00000215952
LOC100505851	ENSG00000269289
LINGO3	ENSG00000220008
C1orf94	ENSG00000142698
LOC101928107	ENSG00000226527
PDE4B	ENSG00000184588
TMEM173	ENSG00000184584
MIR1273A	ENSG00000221753
MIR1260A	ENSG00000221754
CCDC85A	ENSG00000055813
CALHM3	ENSG00000183128
LOC101929034	ENSG00000250417
SLITRK2	ENSG00000185985
DEFB128	ENSG00000185982
MYO1F	ENSG00000142347
MIR3920	ENSG00000263885
MIR4436B2	ENSG00000263881
PLK5	ENSG00000185988
MED12	ENSG00000184634
ZNF93	ENSG00000184635
SPTA1	ENSG00000163554
PRKCI	ENSG00000163558
NAP1L4	ENSG00000205531
COX8C	ENSG00000187581
PLEKHN1	ENSG00000187583
RCAN1	ENSG00000159200
MIR6824	ENSG00000225697
SPDL1	ENSG00000040275
ABCG2	ENSG00000118777
UMPS	ENSG00000114491
B4GALT7	ENSG00000027847
PGA4	ENSG00000229183
HOXA10	ENSG00000253293
DYNC1I1	ENSG00000158560
RNA5-8S5	ENSG00000278233
LOC285627	ENSG00000253298
LOC105370954	ENSG00000259636
ATMIN	ENSG00000166454
C16orf46	ENSG00000166455
AKIP1	ENSG00000166452
PRTG	ENSG00000166450
CENPN	ENSG00000166451
LINC01213	ENSG00000244541
TTTY10	ENSG00000229236
RPL5	ENSG00000122406
TAB3	ENSG00000157625
KRTAP23-1	ENSG00000186980
LINC00307	ENSG00000227342
PARG	ENSG00000227345
PDIA4	ENSG00000155660
KDM8	ENSG00000155666
HOXB4	ENSG00000182742
SLC35D3	ENSG00000182747
PAQR7	ENSG00000182749
SLURP1	ENSG00000126233
PITPNM3	ENSG00000091622
PROZ	ENSG00000126231
MAGEE2	ENSG00000186675
CHKB-CPT1B	ENSG00000254413
LOC105369486	ENSG00000254416
SIGLEC14	ENSG00000254415
ZNF699	ENSG00000196110
ADAM5	ENSG00000196115
TDRD7	ENSG00000196116
CCDC189	ENSG00000196118
OR8A1	ENSG00000196119
CAPNS2	ENSG00000256812
PBDC1	ENSG00000102390
FMO3	ENSG00000007933
ODF1	ENSG00000155087
AK9	ENSG00000155085
NRIP3	ENSG00000175352
PTPN2	ENSG00000175354
SCUBE2	ENSG00000175356
DGKA	ENSG00000065357
ZNF445	ENSG00000185219
TNFAIP2	ENSG00000185215
C14orf132	ENSG00000227051
ATF7	ENSG00000170653
ZNF433	ENSG00000197647
PDCD1LG2	ENSG00000197646
NIFK	ENSG00000155438
SERPINB13	ENSG00000197641
SNORD115-3	ENSG00000199970
LOC101927120	ENSG00000255433
SNORA25	ENSG00000207112
LOC101929089	ENSG00000255435
SNORD14D	ENSG00000207118
U2AF1	ENSG00000160201
CBS	ENSG00000160200
DNAH2	ENSG00000183914
CRYAA	ENSG00000160202
LOC645485	ENSG00000246331
HSF2BP	ENSG00000160207
LOC105372824	ENSG00000160209
RRP1B	ENSG00000160208
EXTL3-AS1	ENSG00000246339
SH2D1A	ENSG00000183918
ZNF440	ENSG00000171295
ZNF439	ENSG00000171291
MIR331	ENSG00000199172
GAA	ENSG00000171298
APBB1	ENSG00000166313
RNA5S5	ENSG00000199396
SEMA4G	ENSG00000095539
SNORD114-7	ENSG00000199390
LOC100505478	ENSG00000230601
DAAM2	ENSG00000146122
JMJD7	ENSG00000243789
WWP2	ENSG00000198373
OXCT1-AS1	ENSG00000248668
SVBP	ENSG00000177868
CT47A5	ENSG00000237957
MIR381	ENSG00000199020
MIR339	ENSG00000199023
MIR369	ENSG00000199025
MIR103A2	ENSG00000199024
RNF168	ENSG00000163961
UBXN7	ENSG00000163960
DPEP2	ENSG00000167261
PIGX	ENSG00000163964
DUS2	ENSG00000167264
MIR548F2	ENSG00000221782
MIR548AG1	ENSG00000265829
MIR3939	ENSG00000265828
LPAR5	ENSG00000184574
MIR4422	ENSG00000265822
MIR3177	ENSG00000265820
DEFB103B	ENSG00000177243
UNQ6494	ENSG00000237372
NSUN3	ENSG00000178694
ATP6V1H	ENSG00000047249
LOC102724488	ENSG00000277758
MIR6719	ENSG00000277759
LINC00901	ENSG00000242385
CDH10	ENSG00000040731
SOCS7	ENSG00000274211
EPN1	ENSG00000063245
U2AF2	ENSG00000063244
ISOC2	ENSG00000063241
LINC00308	ENSG00000184856
ELP6	ENSG00000163832
IKZF2	ENSG00000030419
ZNF596	ENSG00000172748
NSUN7	ENSG00000179299
PTPN11	ENSG00000179295
CTD-3080P12.3	ENSG00000249201
TMEM151A	ENSG00000179292
DIP2A-IT1	ENSG00000223692
INTS6-AS1	ENSG00000236778
LDB3	ENSG00000122367
BRMS1	ENSG00000174744
PABPC5	ENSG00000174740
C4orf32	ENSG00000174749
RPL15	ENSG00000174748
ALMS1	ENSG00000116127
FARSB	ENSG00000116120
BCL9	ENSG00000116128
PPP2CA	ENSG00000113575
NEK2	ENSG00000117650
FGF1	ENSG00000113578
ATXN1L	ENSG00000224470
OAS1	ENSG00000089127
TASP1	ENSG00000089123
MIR7161	ENSG00000278571
NR2E3	ENSG00000278570
MIR5685	ENSG00000264056
KRT222	ENSG00000264058
HAGHL	ENSG00000103253
FAM173A	ENSG00000103254
SLC7A5	ENSG00000103257
ZNF559-ZNF177	ENSG00000270011
C1QTNF3-AMACR	ENSG00000273294
EPHA1	ENSG00000146904
FLJ16779	ENSG00000275620
LOC107987066	ENSG00000275628
TAPBP	ENSG00000231925
PSG1	ENSG00000231924
ETV4	ENSG00000175832
NEBL-AS1	ENSG00000231920
MRPS35	ENSG00000061794
VWA5A	ENSG00000110002
SNORD27	ENSG00000275996
STK10	ENSG00000072786
LOC102724428	ENSG00000275993
UBXN4	ENSG00000144224
NXPH2	ENSG00000144227
THSD7B	ENSG00000144229
SPOPL	ENSG00000144228
P3H1	ENSG00000117385
MIR8069-2	ENSG00000278618
HKR1	ENSG00000181666
RORA	ENSG00000069667
LINC01191	ENSG00000234199
AGAP12P	ENSG00000265018
MIR3160-1	ENSG00000265014
RAB7A	ENSG00000075785
FOXP3	ENSG00000049768
PPP1R3F	ENSG00000049769
LOC101928737	ENSG00000260750
MS4A12	ENSG00000071203
ARHGAP10	ENSG00000071205
MTMR6	ENSG00000139505
TFEC	ENSG00000105967
ADAP1	ENSG00000105963
NLK	ENSG00000087095
SLC46A3	ENSG00000139508
H2AFV	ENSG00000105968
HTR5A-AS1	ENSG00000220575
WSB2	ENSG00000176871
HSPA12B	ENSG00000132622
ANKEF1	ENSG00000132623
MIR1305	ENSG00000221227
SULT1E1	ENSG00000109193
ACTA2-AS1	ENSG00000180139
CSNK1A1L	ENSG00000180138
DMTF1	ENSG00000135164
EFCC1	ENSG00000114654
LRRC59	ENSG00000108829
VAT1	ENSG00000108828
SCAP	ENSG00000114650
SGCA	ENSG00000108823
COL1A1	ENSG00000108821
MRPL27	ENSG00000108826
PTGES3L-AARSD1	ENSG00000108825
SF3B1	ENSG00000115524
ST3GAL5	ENSG00000115525
CHST10	ENSG00000115526
ZFPM2	ENSG00000169946
COQ10B	ENSG00000115520
THTPA	ENSG00000259431
GNLY	ENSG00000115523
NOTO	ENSG00000214513
LOC100996345	ENSG00000261803
SPINK13	ENSG00000214510
PPME1	ENSG00000214517
LOC102723373	ENSG00000261804
LOC101927580	ENSG00000261807
KRT42P	ENSG00000214514
ATP5SL	ENSG00000105341
KRTAP2-2	ENSG00000214518
ZNF330	ENSG00000109445
LOC100506071	ENSG00000258525
MRPS34	ENSG00000074071
SSRP1	ENSG00000149136
OR5F1	ENSG00000149133
SERPING1	ENSG00000149131
GIMAP4	ENSG00000133574
LOC105371899	ENSG00000267568
ADGRA2	ENSG00000020181
RGS7BP	ENSG00000186479
KLK12	ENSG00000186474
PCLO	ENSG00000186472
BTN3A2	ENSG00000186470
AKAP14	ENSG00000186471
CLCNKB	ENSG00000184908
C1orf167	ENSG00000215910
C22orf39	ENSG00000242259
LINC00996	ENSG00000242258
CFLAR-AS1	ENSG00000226312
SUMO3	ENSG00000184900
BGLAP	ENSG00000242252
TLR3	ENSG00000164342
IMMP2L	ENSG00000184903
KLKB1	ENSG00000164344
TCEAL2	ENSG00000184905
NSA2	ENSG00000164346
GFM2	ENSG00000164347
SDR39U1	ENSG00000100445
KHNYN	ENSG00000100441
FKBP3	ENSG00000100442
LMAN1	ENSG00000074695
HACD3	ENSG00000074696
CTSG	ENSG00000100448
PPT2-EGFL8	ENSG00000258388
ARL6	ENSG00000113966
UBTF	ENSG00000108312
FAM204A	ENSG00000165669
ACTN2	ENSG00000077522
CBFB	ENSG00000067955
LCMT1-AS2	ENSG00000260034
NORAD	ENSG00000260032
SNHG17	ENSG00000196756
ZNF700	ENSG00000196757
S100A2	ENSG00000196754
LRRC23	ENSG00000010626
JAZF1	ENSG00000153814
CMIP	ENSG00000153815
RGS11	ENSG00000076344
DLG2	ENSG00000150672
NPSR1-AS1	ENSG00000197085
LCE1C	ENSG00000197084
FCER2	ENSG00000104921
IGF2R	ENSG00000197081
RBM45	ENSG00000155636
TTTY23	ENSG00000239225
RPAP1	ENSG00000103932
SNORD115-31	ENSG00000202188
ELOF1	ENSG00000130165
HSD3B2	ENSG00000203859
HSD3B1	ENSG00000203857
HIST2H3A	ENSG00000203852
APOBEC2	ENSG00000124701
ADGRG3	ENSG00000182885
ACTL7A	ENSG00000187003
ST20	ENSG00000180953
PITPNB	ENSG00000180957
HGS	ENSG00000185359
HS6ST3	ENSG00000185352
DERL2	ENSG00000072849
OR1F2P	ENSG00000203581
LOC100507175	ENSG00000203585
EVC	ENSG00000072840
FAM99B	ENSG00000205865
KRTAP5-6	ENSG00000205864
KRTAP5-2	ENSG00000205867
FAM99A	ENSG00000205866
C1QTNF9B	ENSG00000205863
BTBD18	ENSG00000233436
KRTAP5-1	ENSG00000205869
KCNQ1-AS1	ENSG00000229414
SFTA3	ENSG00000229415
MCHR2	ENSG00000152034
RALGAPA1P1	ENSG00000229419
LOC338694	ENSG00000261070
LINC01195	ENSG00000261075
LOC440386	ENSG00000261079
DDX25	ENSG00000109832
PLEKHA5	ENSG00000052126
LOC100505685	ENSG00000251249
TARID	ENSG00000227954
ZNF525	ENSG00000203326
ZNF345	ENSG00000251247
CDC42BPA	ENSG00000143776
GUK1	ENSG00000143774
ITPKB	ENSG00000143772
CNIH4	ENSG00000143771
DUSP18	ENSG00000167065
ARL17A	ENSG00000185829
ACTRT1	ENSG00000123165
BCAP31	ENSG00000185825
KRTAP5-8	ENSG00000241233
OR6C76	ENSG00000185821
NPAP1	ENSG00000185823
CISD2	ENSG00000145354
MIR4424	ENSG00000266417
MIR4636	ENSG00000266415
NCOA4	ENSG00000266412
KCNV2	ENSG00000168263
PTF1A	ENSG00000168267
IRF2BP2	ENSG00000168264
FOXI1	ENSG00000168269
NT5DC2	ENSG00000168268
FANCF	ENSG00000183161
NTHL1	ENSG00000065057
JAM3	ENSG00000166086
TFG	ENSG00000114354
GNAI2	ENSG00000114353
LRRC73	ENSG00000204052
LINC00687	ENSG00000228422
CABP1	ENSG00000157782
AGPAT4-IT1	ENSG00000279355
FAM30A	ENSG00000226777
WFS1	ENSG00000109501
LOC100506682	ENSG00000226770
DES	ENSG00000175084
UGT2B28	ENSG00000135226
BUB3	ENSG00000154473
XKR8	ENSG00000158156
FAM234A	ENSG00000167930
CCDC173	ENSG00000154479
GPR26	ENSG00000154478
CNNM4	ENSG00000158158
OVCH2	ENSG00000183378
SYNDIG1L	ENSG00000183379
C1orf194	ENSG00000179902
AUNIP	ENSG00000127423
ZNF154	ENSG00000179909
FAM213B	ENSG00000157870
TNFRSF14	ENSG00000157873
CSNK2A3	ENSG00000254598
DLGAP4	ENSG00000080845
KBTBD6	ENSG00000165572
DSTN	ENSG00000125868
LAMP5	ENSG00000125869
FGD5	ENSG00000154783
CCDC174	ENSG00000154781
MKKS	ENSG00000125863
GFRA4	ENSG00000125861
LOC101927901	ENSG00000255970
CYP2A6	ENSG00000255974
MIR517B	ENSG00000207837
NAV2-AS4	ENSG00000254622
MIR517C	ENSG00000207838
MIR33B	ENSG00000207839
PCDHGA5	ENSG00000253485
FRG2	ENSG00000205097
TMEM240	ENSG00000205090
LOC81691	ENSG00000005189
SLC4A8	ENSG00000050438
UBE2Z	ENSG00000159202
DUXAP10	ENSG00000225210
CIART	ENSG00000159208
FAM98C	ENSG00000130244
ACSM3	ENSG00000005187
SH2D6	ENSG00000152292
SLC16A5	ENSG00000170190
NANP	ENSG00000170191
DLGAP4-AS1	ENSG00000232907
LOC101929413	ENSG00000232900
LINC01166	ENSG00000232903
KIF6	ENSG00000164627
KCNK5	ENSG00000164626
SMAD5-AS1	ENSG00000164621
RELL2	ENSG00000164620
EMC4	ENSG00000128463
L3MBTL3	ENSG00000198945
SOWAHA	ENSG00000198944
DMD	ENSG00000198947
EPC1	ENSG00000120616
MFAP3L	ENSG00000198948
ZNF570	ENSG00000171827
EXOSC10	ENSG00000171824
PSMC2	ENSG00000161057
SCGB3A1	ENSG00000161055
NFXL1	ENSG00000170448
KRT86	ENSG00000170442
HARS	ENSG00000170445
KCTD12	ENSG00000178695
TMA16	ENSG00000198498
SUZ12	ENSG00000178691
DYNAP	ENSG00000178690
YTHDF2	ENSG00000198492
LOC101929106	ENSG00000198491
NBR2	ENSG00000198496
CLEC12B	ENSG00000256660
PTGIR	ENSG00000160013
CALM3	ENSG00000160014
ACSM4	ENSG00000215009
KRTAP9-3	ENSG00000204873
NAT8B	ENSG00000204872
MIR6078	ENSG00000274809
TBC1D3B	ENSG00000274808
MIR6768	ENSG00000274805
TSPAN15	ENSG00000099282
H2AFY2	ENSG00000099284
DDX42	ENSG00000198231
LINC01354	ENSG00000231768
EXOSC1	ENSG00000171311
CHST11	ENSG00000171310
GOLGA8DP	ENSG00000175676
PGAM1	ENSG00000171314
CHD7	ENSG00000171316
OPRK1	ENSG00000082556
PRR5L	ENSG00000135362
DOK2	ENSG00000147443
PHF21A	ENSG00000135365
CORO6	ENSG00000167549
KMT2D	ENSG00000167548
DDIT4L	ENSG00000145358
TP53I13	ENSG00000167543
HNRNPUL2	ENSG00000214753
METTL12	ENSG00000214756
LOC100288866	ENSG00000249906
IP6K1	ENSG00000176095
AIM1L	ENSG00000176092
PRDM8	ENSG00000152784
SNORA30	ENSG00000206755
SNORD25	ENSG00000275043
LINC00856	ENSG00000230417
RAP1GAP2	ENSG00000132359
PRKAA1	ENSG00000132356
CARD6	ENSG00000132357
VPS50	ENSG00000004766
THUMPD2	ENSG00000138050
NRBF2	ENSG00000148572
METTL21A	ENSG00000144401
ZDHHC11	ENSG00000188818
PTH2R	ENSG00000144407
UNC80	ENSG00000144406
NHLRC3	ENSG00000188811
HMX2	ENSG00000188816
SNTN	ENSG00000188817
PAQR9-AS1	ENSG00000241570
LOC105376116	ENSG00000233262
LINC00264	ENSG00000233261
MCOLN3	ENSG00000055732
LINC00504	ENSG00000248360
GCM1	ENSG00000137270
FOXF2	ENSG00000137273
BPHL	ENSG00000137274
RIPK1	ENSG00000137275
HGH1	ENSG00000235173
LCLAT1	ENSG00000172954
ADH6	ENSG00000172955
MIR296	ENSG00000268649
LRRC40	ENSG00000066557
RNF224	ENSG00000233198
TPTE	ENSG00000274391
MIR6885	ENSG00000274390
GPR12	ENSG00000132975
WASF3	ENSG00000132970
RNF17	ENSG00000132972
LOC107983955	ENSG00000275553
LINC01208	ENSG00000223715
LOC105373185	ENSG00000223714
MIR3670-4	ENSG00000274025
FAM27E3	ENSG00000274026
OR51B2	ENSG00000279012
MIR4534	ENSG00000279010
LINC00240	ENSG00000224843
STXBP6	ENSG00000168952
SEC23A	ENSG00000100934
TRIM28	ENSG00000130726
UBE2M	ENSG00000130725
CHMP2A	ENSG00000130724
PRRC2B	ENSG00000130723
FIBCD1	ENSG00000130720
EVI5	ENSG00000067208
MESDC1	ENSG00000140406
MAN2C1	ENSG00000140400
PDGFC	ENSG00000145431
CBR4	ENSG00000145439
USP32	ENSG00000170832
SDCCAG8	ENSG00000054282
GPR27	ENSG00000170837
PPM1D	ENSG00000170836
CEL	ENSG00000170835
WDR72	ENSG00000166415
CXorf51B	ENSG00000235699
AKT3	ENSG00000117020
ORC1	ENSG00000085840
KIAA1024	ENSG00000169330
CWC25	ENSG00000273559
ULK4P1	ENSG00000261279
MIR6812	ENSG00000273555
MIR6887	ENSG00000089356
